league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
ENG-Premier League,2526,Nottingham,Oleksandr Zinchenko,UKR,DF,28,1996,3.9,0,4,2,50.0,1.02,0.51,0.0,0.0,0,0
ENG-Premier League,2526,Nottingham,Omari Hutchinson,ENG,MF,21,2003,18.8,1,25,11,44.0,1.33,0.59,0.04,0.09,0,0
ENG-Premier League,2526,Nottingham,Ryan Yates,ENG,MF,27,1997,6.9,0,9,2,22.2,1.31,0.29,0.0,0.0,0,0
ENG-Premier League,2526,Nottingham,Stefan Ortega,GER,GK,32,1992,3.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Nottingham,Taiwo Awoniyi,NGA,FW,27,1997,5.5,4,15,8,53.3,2.73,1.46,0.27,0.5,0,0
ENG-Premier League,2526,Nottingham,Zach Abbott,ENG,DF,19,2006,1.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Sunderland,Arthur Masuaku,COD,DF,31,1993,1.4,0,1,0,0.0,0.71,0.0,0.0,,0,0
ENG-Premier League,2526,Sunderland,Bertrand Traoré,BFA,"MF,FW",29,1995,7.0,1,12,6,50.0,1.71,0.85,0.08,0.17,0,0
ENG-Premier League,2526,Sunderland,Brian Brobbey,NED,FW,23,2002,21.4,7,36,18,50.0,1.68,0.84,0.19,0.39,0,0
ENG-Premier League,2526,Sunderland,Chemsdine Talbi,MAR,"MF,FW",20,2005,17.3,4,25,10,40.0,1.44,0.58,0.16,0.4,0,0
ENG-Premier League,2526,Sunderland,Chris Rigg,ENG,MF,18,2007,8.5,1,12,3,25.0,1.42,0.35,0.08,0.33,0,0
ENG-Premier League,2526,Sunderland,Dan Neil,ENG,MF,23,2001,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Sunderland,Daniel Ballard,NIR,DF,25,1999,23.9,2,26,9,34.6,1.09,0.38,0.08,0.22,0,0
ENG-Premier League,2526,Sunderland,Dennis Cirkin,LVA,DF,23,2002,3.6,0,1,0,0.0,0.28,0.0,0.0,,0,0
ENG-Premier League,2526,Sunderland,Eliezer Mayenda,ESP,"FW,MF",20,2005,8.4,2,13,6,46.2,1.54,0.71,0.15,0.33,0,0
ENG-Premier League,2526,Sunderland,Enzo Le Fée,FRA,"MF,FW",25,2000,32.6,5,36,12,33.3,1.11,0.37,0.06,0.17,3,4
ENG-Premier League,2526,Sunderland,Granit Xhaka,SUI,MF,32,1992,32.3,1,21,5,23.8,0.65,0.15,0.05,0.2,0,0
ENG-Premier League,2526,Sunderland,Habib Diarra,SEN,MF,21,2004,15.6,2,26,8,30.8,1.67,0.51,0.04,0.13,1,1
ENG-Premier League,2526,Sunderland,Jenson Seelt,NED,DF,22,2003,1.5,0,0,0,,0.0,0.0,,,0,0
