league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
ENG-Premier League,2526,Tottenham,Djed Spence,ENG,"DF,MF",24,2000,22.8,0,13,8,61.5,0.57,0.35,0.0,0.0,0,0
ENG-Premier League,2526,Tottenham,Dominic Solanke,ENG,FW,27,1997,11.1,3,20,11,55.0,1.8,0.99,0.15,0.27,0,0
ENG-Premier League,2526,Tottenham,Guglielmo Vicario,ITA,GK,28,1996,31.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Tottenham,James Maddison,ENG,"FW,MF",28,1996,0.4,0,2,0,0.0,4.86,0.0,0.0,,0,0
ENG-Premier League,2526,Tottenham,James Rowswell,ENG,DF,19,2006,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Tottenham,João Palhinha,POR,MF,30,1995,24.4,5,33,9,27.3,1.35,0.37,0.15,0.56,0,0
ENG-Premier League,2526,Tottenham,Jun'ai Byfield,ENG,DF,16,2008,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Tottenham,Kevin Danso,AUT,DF,26,1998,16.6,0,11,2,18.2,0.66,0.12,0.0,0.0,0,0
ENG-Premier League,2526,Tottenham,Lucas Bergvall,SWE,MF,19,2006,10.7,1,12,5,41.7,1.12,0.47,0.08,0.2,0,0
ENG-Premier League,2526,Tottenham,Mathys Tel,FRA,"MF,FW",20,2005,15.0,4,35,8,22.9,2.34,0.53,0.11,0.5,0,0
ENG-Premier League,2526,Tottenham,Micky van de Ven,NED,DF,24,2001,33.8,4,16,6,37.5,0.47,0.18,0.25,0.67,0,0
ENG-Premier League,2526,Tottenham,Mohammed Kudus,GHA,"MF,FW",24,2000,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,0,0
ENG-Premier League,2526,Tottenham,Pape Matar Sarr,SEN,MF,22,2002,15.5,2,17,6,35.3,1.09,0.39,0.12,0.33,0,0
ENG-Premier League,2526,Tottenham,Pedro Porro,ESP,DF,25,1999,31.1,1,32,8,25.0,1.03,0.26,0.03,0.13,0,0
ENG-Premier League,2526,Tottenham,Radu Drăgușin,ROU,DF,23,2002,5.7,0,4,0,0.0,0.7,0.0,0.0,,0,0
ENG-Premier League,2526,Tottenham,Randal Kolo Muani,FRA,"FW,MF",26,1998,18.5,1,20,4,20.0,1.08,0.22,0.05,0.25,0,0
ENG-Premier League,2526,Tottenham,Richarlison,BRA,"FW,MF",28,1997,21.8,11,61,26,42.6,2.8,1.19,0.18,0.42,0,0
ENG-Premier League,2526,Tottenham,Rodrigo Bentancur,URU,MF,28,1997,20.9,1,13,3,23.1,0.62,0.14,0.08,0.33,0,0
ENG-Premier League,2526,Tottenham,Souza,BRA,MF,19,2006,1.6,0,1,1,100.0,0.62,0.62,0.0,0.0,0,0
ENG-Premier League,2526,Tottenham,Wilson Odobert,FRA,"MF,FW",20,2004,10.9,0,21,8,38.1,1.92,0.73,0.0,0.0,0,0
ENG-Premier League,2526,Tottenham,Xavi Simons,NED,"MF,FW",22,2003,19.5,2,42,10,23.8,2.15,0.51,0.05,0.2,0,0
ENG-Premier League,2526,Tottenham,Yves Bissouma,MLI,MF,28,1996,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Aaron Wan-Bissaka,COD,"DF,MF",27,1997,23.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,Adama Traoré,ESP,"FW,MF",29,1996,1.3,0,2,0,0.0,1.49,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Alphonse Areola,FRA,GK,32,1993,20.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,Andy Irving,SCO,MF,25,2000,1.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,Axel Disasi,FRA,DF,27,1998,13.9,0,5,3,60.0,0.36,0.22,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Callum Marshall,NIR,FW,20,2004,0.7,0,1,0,0.0,1.5,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Callum Wilson,ENG,FW,33,1992,13.9,7,38,16,42.1,2.73,1.15,0.18,0.44,0,0
ENG-Premier League,2526,West Ham,Crysencio Summerville,NED,"MF,FW",23,2001,27.4,5,54,15,27.8,1.97,0.55,0.09,0.33,0,0
ENG-Premier League,2526,West Ham,El Hadji Malick Diouf,SEN,"DF,MF",20,2004,30.1,0,18,4,22.2,0.6,0.13,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Ezra Mayers,BRB,DF,18,2007,1.3,0,1,0,0.0,0.77,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Freddie Potts,ENG,MF,21,2003,13.0,0,3,1,33.3,0.23,0.08,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,George Earthy,ENG,MF,20,2004,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,Guido Rodríguez,ARG,MF,31,1994,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Igor,BRA,DF,27,1998,1.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,James Ward-Prowse,ENG,MF,30,1994,4.6,0,2,0,0.0,0.44,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Jarrod Bowen,ENG,"MF,FW",28,1996,37.8,9,79,28,35.4,2.09,0.74,0.1,0.29,1,1
ENG-Premier League,2526,West Ham,Jean-Clair Todibo,FRA,DF,25,1999,20.2,0,2,0,0.0,0.1,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Konstantinos Mavropanos,GRE,DF,27,1997,28.2,3,23,8,34.8,0.82,0.28,0.13,0.38,0,0
ENG-Premier League,2526,West Ham,Kyle Walker-Peters,ENG,DF,28,1997,15.4,1,5,3,60.0,0.33,0.2,0.2,0.33,0,0
ENG-Premier League,2526,West Ham,Lucas Paquetá,BRA,"MF,FW",27,1997,16.8,4,23,11,47.8,1.37,0.66,0.09,0.18,2,2
ENG-Premier League,2526,West Ham,Luis Guilherme,BRA,FW,19,2006,1.4,0,1,0,0.0,0.72,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Mads Hermansen,DEN,GK,25,2000,18.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,West Ham,Mateus Fernandes,POR,MF,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0
ENG-Premier League,2526,West Ham,Max Kilman,ENG,DF,28,1997,17.3,0,7,1,14.3,0.4,0.06,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Mohamadou Kanté,FRA,MF,19,2005,0.8,0,2,0,0.0,2.4,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Nayef Aguerd,MAR,DF,29,1996,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Niclas Füllkrug,GER,FW,32,1993,4.5,0,9,3,33.3,1.98,0.66,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Oliver Scarles,ENG,"DF,MF",19,2005,7.3,0,3,0,0.0,0.41,0.0,0.0,,0,0
ENG-Premier League,2526,West Ham,Pablo,BRA,"MF,FW",21,2004,9.1,0,12,3,25.0,1.31,0.33,0.0,0.0,0,0
ENG-Premier League,2526,West Ham,Soungoutou Magassa,FRA,MF,21,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,0,0
ENG-Premier League,2526,West Ham,Tomáš Souček,CZE,MF,30,1995,24.4,5,26,14,53.8,1.06,0.57,0.19,0.36,0,0
ENG-Premier League,2526,West Ham,Valentín Castellanos,ARG,FW,26,1998,15.4,6,50,22,44.0,3.25,1.43,0.12,0.27,0,0
ENG-Premier League,2526,Wolves,Adam Armstrong,ENG,"FW,MF",28,1997,12.7,2,18,6,33.3,1.42,0.47,0.06,0.17,1,1
ENG-Premier League,2526,Wolves,André,BRA,MF,24,2001,30.7,1,15,1,6.7,0.49,0.03,0.07,1.0,0,0
ENG-Premier League,2526,Wolves,Angel Gomes,ENG,"MF,FW",24,2000,5.1,0,6,2,33.3,1.17,0.39,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32,1993,3.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,David Møller Wolfe,NOR,"MF,DF",23,2002,11.7,0,3,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2526,Wolves,Emmanuel Agbadou,CIV,DF,28,1997,12.2,0,10,3,30.0,0.82,0.25,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Fer López,ESP,MF,21,2004,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Hugo Bueno,ESP,"MF,DF",22,2002,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0
ENG-Premier League,2526,Wolves,Hwang Hee-chan,KOR,"FW,MF",29,1996,16.1,2,19,6,31.6,1.18,0.37,0.05,0.17,1,1
ENG-Premier League,2526,Wolves,Jackson Tchatchoua,CMR,"MF,DF",23,2001,20.5,0,3,1,33.3,0.15,0.05,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",27,1998,13.9,1,21,7,33.3,1.51,0.5,0.05,0.14,0,0
ENG-Premier League,2526,Wolves,Jerome Abbey,ENG,MF,15,2009,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Jhon Arias,COL,"FW,MF",27,1997,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0
ENG-Premier League,2526,Wolves,José Sá,POR,GK,32,1993,23.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,João Gomes,BRA,MF,24,2001,31.4,1,19,7,36.8,0.6,0.22,0.05,0.14,0,0
ENG-Premier League,2526,Wolves,Jørgen Strand Larsen,NOR,FW,25,2000,15.6,1,21,7,33.3,1.35,0.45,0.0,0.0,1,2
ENG-Premier League,2526,Wolves,Ki-Jana Hoever,NED,"MF,DF",23,2002,4.7,0,1,1,100.0,0.21,0.21,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Ladislav Krejčí,CZE,"DF,MF",26,1999,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0
ENG-Premier League,2526,Wolves,Marshall Munetsi,ZIM,"MF,FW",29,1996,9.7,1,14,6,42.9,1.44,0.62,0.07,0.17,0,0
ENG-Premier League,2526,Wolves,Mateus Mane,POR,MF,17,2007,19.9,3,41,17,41.5,2.06,0.85,0.07,0.18,0,0
ENG-Premier League,2526,Wolves,Matt Doherty,IRL,"DF,MF",33,1992,8.7,0,3,0,0.0,0.34,0.0,0.0,,0,0
ENG-Premier League,2526,Wolves,Pedro Lima,BRA,MF,19,2006,2.9,0,4,1,25.0,1.38,0.35,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Rodrigo Gomes,POR,"MF,FW",22,2003,10.7,3,20,6,30.0,1.87,0.56,0.15,0.5,0,0
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,32,1993,12.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Santiago Bueno,URU,DF,26,1998,28.4,3,10,7,70.0,0.35,0.25,0.3,0.43,0,0
ENG-Premier League,2526,Wolves,Saša Kalajdžić,AUT,"FW,MF",28,1997,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Tawanda Chirewa,ZIM,MF,21,2003,0.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Tolu Arokodare,NGA,FW,24,2000,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1
ENG-Premier League,2526,Wolves,Tom Edozie,ENG,MF,19,2006,0.2,1,2,1,50.0,12.86,6.43,0.5,1.0,0,0
ENG-Premier League,2526,Wolves,Toti Gomes,POR,DF,26,1999,15.8,0,5,2,40.0,0.32,0.13,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Yerson Mosquera,COL,DF,24,2001,23.7,0,30,6,20.0,1.26,0.25,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",26,1998,16.6,1,34,12,35.3,2.05,0.72,0.03,0.08,0,0
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,22,2003,1.4,0,2,1,50.0,1.48,0.74,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,7.3,1,5,1,20.0,0.69,0.14,0.2,1.0,0,0
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,34.6,2,40,13,32.5,1.16,0.38,0.05,0.15,0,0
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,25,2000,8.4,0,5,1,20.0,0.6,0.12,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,27,1998,22.1,0,29,5,17.2,1.31,0.23,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,21,2004,0.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,27,1998,3.6,0,3,2,66.7,0.83,0.56,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,26,1999,14.0,5,12,6,50.0,0.86,0.43,0.17,0.33,3,3
ESP-La Liga,2526,Alavés,Denis Suárez,ESP,MF,31,1994,15.6,1,9,4,44.4,0.58,0.26,0.11,0.25,0,0
ESP-La Liga,2526,Alavés,Diego Morcillo,ESP,FW,22,2003,0.1,0,1,0,0.0,9.0,0.0,0.0,,0,0
ESP-La Liga,2526,Alavés,Facundo Garcés,MAS,DF,25,1999,8.8,0,8,4,50.0,0.91,0.45,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Ibrahim Diabaté,CIV,FW,25,1999,6.4,2,15,5,33.3,2.34,0.78,0.13,0.4,0,0
ESP-La Liga,2526,Alavés,Jon Guridi,ESP,"MF,FW",30,1995,13.8,0,15,4,26.7,1.09,0.29,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Jon Pacheco,ESP,DF,24,2001,19.3,0,4,1,25.0,0.21,0.05,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Jonny Castro,ESP,DF,31,1994,33.3,0,9,3,33.3,0.27,0.09,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Lander Pinillos,ESP,MF,21,2003,0.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Alavés,Lucas Boyé,ARG,FW,29,1996,21.8,11,63,21,33.3,2.9,0.97,0.13,0.38,3,3
ESP-La Liga,2526,Alavés,Mariano,DOM,FW,31,1993,3.2,0,6,3,50.0,1.87,0.94,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Moussa Diarra,MLI,DF,24,2000,2.4,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Alavés,Nahuel Tenaglia,ARG,DF,29,1996,36.0,2,24,8,33.3,0.67,0.22,0.08,0.25,0,0
ESP-La Liga,2526,Alavés,Pablo Ibáñez,ESP,MF,26,1998,24.8,1,47,13,27.7,1.89,0.52,0.02,0.08,0,0
ESP-La Liga,2526,Alavés,Toni Martínez,ESP,FW,28,1997,30.2,14,93,36,38.7,3.08,1.19,0.14,0.36,1,1
ESP-La Liga,2526,Alavés,Victor Parada,ESP,DF,23,2002,23.8,0,12,3,25.0,0.5,0.13,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Ville Koski,FIN,DF,23,2002,3.1,0,1,1,100.0,0.32,0.32,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Youssef Lekhedim,ESP,"DF,MF",19,2005,14.8,0,11,3,27.3,0.74,0.2,0.0,0.0,0,0
ESP-La Liga,2526,Alavés,Ángel Pérez,ESP,"MF,DF",22,2002,14.3,1,14,4,28.6,0.98,0.28,0.07,0.25,0,0
ESP-La Liga,2526,Athletic Club,Adama Boiro,ESP,DF,23,2002,9.1,0,2,0,0.0,0.22,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Aitor Paredes,ESP,DF,25,2000,18.1,2,13,4,30.8,0.72,0.22,0.15,0.5,0,0
ESP-La Liga,2526,Athletic Club,Alejandro Rego,ESP,MF,22,2003,14.2,1,12,3,25.0,0.84,0.21,0.08,0.33,0,0
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,21,2003,1.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996,15.1,0,5,1,20.0,0.33,0.07,0.0,0.0,0,0
ESP-La Liga,2526,Athletic Club,Asier Hierro,ESP,FW,20,2005,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Aymeric Laporte,ESP,DF,31,1994,22.9,0,15,5,33.3,0.66,0.22,0.0,0.0,0,0
ESP-La Liga,2526,Athletic Club,Beñat Prados,ESP,MF,24,2001,0.9,0,1,0,0.0,1.06,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Daniel Vivian,ESP,DF,26,1999,28.5,1,17,6,35.3,0.6,0.21,0.06,0.17,0,0
ESP-La Liga,2526,Athletic Club,Eder García,ESP,FW,21,2004,0.4,0,1,0,0.0,2.37,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996,26.3,10,84,32,38.1,3.2,1.22,0.11,0.28,1,1
ESP-La Liga,2526,Athletic Club,Iñaki Williams,GHA,"MF,FW",31,1994,24.0,3,57,20,35.1,2.38,0.83,0.04,0.1,1,1
ESP-La Liga,2526,Athletic Club,Iñigo Lekue,ESP,DF,32,1993,6.7,0,3,1,33.3,0.45,0.15,0.0,0.0,0,0
ESP-La Liga,2526,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993,24.5,1,20,2,10.0,0.82,0.08,0.05,0.5,0,0
ESP-La Liga,2526,Athletic Club,Jesús Areso,ESP,DF,26,1999,16.7,0,3,0,0.0,0.18,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Maroan Sannadi,MAR,FW,24,2001,3.2,1,8,4,50.0,2.5,1.25,0.13,0.25,0,0
ESP-La Liga,2526,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003,31.5,2,39,11,28.2,1.24,0.35,0.05,0.18,0,0
ESP-La Liga,2526,Athletic Club,Mikel Vesga,ESP,MF,32,1993,5.2,0,3,0,0.0,0.58,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Nico Williams,ESP,MF,23,2002,18.6,6,46,16,34.8,2.47,0.86,0.11,0.31,1,2
ESP-La Liga,2526,Athletic Club,Nicolás Serrano,ESP,MF,22,2003,4.1,1,16,4,25.0,3.93,0.98,0.06,0.25,0,0
ESP-La Liga,2526,Athletic Club,Oihan Sancet,ESP,MF,25,2000,19.9,4,48,15,31.3,2.42,0.76,0.04,0.13,2,2
ESP-La Liga,2526,Athletic Club,Roberto Navarro,ESP,MF,23,2002,14.5,6,21,10,47.6,1.45,0.69,0.29,0.6,0,0
ESP-La Liga,2526,Athletic Club,Selton Sánchez,ESP,MF,18,2007,2.2,0,4,1,25.0,1.84,0.46,0.0,0.0,0,0
ESP-La Liga,2526,Athletic Club,Unai Gómez,ESP,MF,22,2003,10.4,1,23,7,30.4,2.21,0.67,0.04,0.14,0,0
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28,1997,37.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Athletic Club,Urko Izeta,ESP,FW,25,1999,2.1,1,11,5,45.5,5.13,2.33,0.09,0.2,0,0
ESP-La Liga,2526,Athletic Club,Yeray Álvarez,ESP,DF,30,1995,5.7,0,1,0,0.0,0.18,0.0,0.0,,0,0
ESP-La Liga,2526,Athletic Club,Yuri Berchiche,ESP,DF,35,1990,30.1,0,24,5,20.8,0.8,0.17,0.0,0.0,0,0
ESP-La Liga,2526,Athletic Club,Álex Berenguer,ESP,MF,30,1995,23.9,2,44,20,45.5,1.84,0.84,0.05,0.1,0,0
ESP-La Liga,2526,Atlético Madrid,Ademola Lookman,NGA,"FW,MF",27,1997,6.9,4,21,5,23.8,3.06,0.73,0.14,0.6,1,1
ESP-La Liga,2526,Atlético Madrid,Aleksa Puric,SRB,DF,22,2003,0.5,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995,22.0,13,68,35,51.5,3.09,1.59,0.19,0.37,0,0
ESP-La Liga,2526,Atlético Madrid,Antoine Griezmann,FRA,FW,34,1991,16.5,7,47,25,53.2,2.86,1.52,0.15,0.28,0,0
ESP-La Liga,2526,Atlético Madrid,Clément Lenglet,FRA,DF,30,1995,15.5,0,5,0,0.0,0.32,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000,7.5,2,13,5,38.5,1.72,0.66,0.15,0.4,0,0
ESP-La Liga,2526,Atlético Madrid,Daniel Martinez,ESP,DF,21,2004,1.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Dávid Hancko,SVK,DF,27,1997,27.0,0,21,5,23.8,0.78,0.19,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Giacomo Raspadori,ITA,FW,25,2000,2.6,0,7,3,42.9,2.67,1.14,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Giuliano Simeone,ARG,"MF,FW",22,2002,23.3,4,36,14,38.9,1.54,0.6,0.11,0.29,0,0
ESP-La Liga,2526,Atlético Madrid,Iker Luque,ESP,DF,20,2005,0.3,1,3,2,66.7,9.64,6.43,0.33,0.5,0,0
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,32,1993,30.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Jano Monserrate,ESP,MF,19,2006,0.3,0,1,1,100.0,3.91,3.91,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Javi Galán,ESP,DF,30,1994,1.5,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Javi Morcillo,ESP,MF,19,2006,1.9,0,2,0,0.0,1.05,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,Javier Boñar,ESP,DF,20,2005,3.3,1,2,1,50.0,0.6,0.3,0.5,1.0,0,0
ESP-La Liga,2526,Atlético Madrid,Johnny Cardoso,USA,MF,23,2001,9.9,0,2,0,0.0,0.2,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,José María Giménez,URU,DF,30,1995,13.1,0,13,3,23.1,0.99,0.23,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,31,1994,8.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Julio Diaz,ESP,DF,20,2005,3.4,0,1,0,0.0,0.29,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000,21.1,8,54,26,48.1,2.56,1.23,0.11,0.23,2,3
ESP-La Liga,2526,Atlético Madrid,Koke,ESP,MF,33,1992,24.7,2,14,4,28.6,0.57,0.16,0.14,0.5,0,0
ESP-La Liga,2526,Atlético Madrid,Marc Pubill,ESP,DF,22,2003,15.3,1,11,4,36.4,0.72,0.26,0.09,0.25,0,0
ESP-La Liga,2526,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995,24.2,0,18,6,33.3,0.74,0.25,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Matteo Ruggeri,ITA,DF,23,2002,19.7,0,5,2,40.0,0.25,0.1,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Miguel Cubo,ESP,FW,17,2008,0.6,1,3,2,66.7,5.4,3.6,0.33,0.5,0,0
ESP-La Liga,2526,Atlético Madrid,Nahuel Molina,ARG,"DF,MF",27,1998,14.8,2,14,4,28.6,0.95,0.27,0.14,0.5,0,0
ESP-La Liga,2526,Atlético Madrid,Nicolás González,ARG,"MF,DF",27,1998,16.1,5,43,21,48.8,2.67,1.31,0.12,0.24,0,0
ESP-La Liga,2526,Atlético Madrid,Obed Vargas,MEX,MF,19,2005,8.2,0,5,0,0.0,0.61,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,Pablo Barrios,ESP,MF,22,2003,18.5,1,23,6,26.1,1.25,0.33,0.04,0.17,0,0
ESP-La Liga,2526,Atlético Madrid,Rayane Belaid,ESP,"MF,FW",20,2005,1.5,0,4,0,0.0,2.73,0.0,0.0,,0,0
ESP-La Liga,2526,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996,19.9,1,6,1,16.7,0.3,0.05,0.17,1.0,0,0
ESP-La Liga,2526,Atlético Madrid,Rodrigo Mendoza,ESP,MF,20,2005,4.8,0,6,2,33.3,1.24,0.41,0.0,0.0,0,0
ESP-La Liga,2526,Atlético Madrid,Taufik Seidu,ESP,MF,17,2008,0.3,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Atlético Madrid,Thiago Almada,ARG,"MF,FW",24,2001,14.6,3,21,10,47.6,1.44,0.69,0.14,0.3,0,0
ESP-La Liga,2526,Atlético Madrid,Álex Baena,ESP,"MF,FW",24,2001,17.3,2,29,7,24.1,1.67,0.4,0.07,0.29,0,0
ESP-La Liga,2526,Barcelona,Alejandro Balde,ESP,DF,21,2003,20.8,0,10,1,10.0,0.48,0.05,0.0,0.0,0,0
ESP-La Liga,2526,Barcelona,Alvaro Cortes,ESP,DF,20,2005,1.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Barcelona,Andreas Christensen,DEN,DF,29,1996,4.5,0,4,2,50.0,0.88,0.44,0.0,0.0,0,0
ESP-La Liga,2526,Barcelona,Dani Olmo,ESP,MF,27,1998,23.0,7,70,21,30.0,3.05,0.91,0.1,0.33,0,0
ESP-La Liga,2526,Barcelona,Dro Fernández,ESP,MF,17,2008,1.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Barcelona,Eric García,ESP,"DF,MF",24,2001,30.2,1,25,7,28.0,0.83,0.23,0.04,0.14,0,0
ESP-La Liga,2526,Barcelona,Fermin López,ESP,MF,22,2003,20.0,6,68,25,36.8,3.41,1.25,0.09,0.24,0,0
ESP-La Liga,2526,Barcelona,Ferrán Torres,ESP,FW,25,2000,21.8,16,69,37,53.6,3.16,1.69,0.23,0.43,0,0
ESP-La Liga,2526,Barcelona,Frenkie de Jong,NED,MF,28,1997,18.2,1,7,2,28.6,0.39,0.11,0.14,0.5,0,0
ESP-La Liga,2526,Barcelona,Gavi,ESP,MF,20,2004,6.4,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Barcelona,Gerard Martín,ESP,DF,23,2002,23.5,0,7,4,57.1,0.3,0.17,0.0,0.0,0,0
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,24,2001,30.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Barcelona,Jofre Torrents,ESP,DF,18,2007,0.6,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2526,Barcelona,João Cancelo,POR,DF,31,1994,10.6,2,13,4,30.8,1.23,0.38,0.15,0.5,0,0
ESP-La Liga,2526,Barcelona,Jules Koundé,FRA,DF,26,1998,25.1,1,14,4,28.6,0.56,0.16,0.07,0.25,0,0
