league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,Belgium,Michy Batshuayi,Belgium,FW,24,1993,1.3,1,8,4,50.0,6.32,3.16,0.13,0.25,0,0
INT-World Cup,2018,Belgium,Mousa Dembélé,Belgium,MF,30,1987,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Nacer Chadli,Belgium,MF,28,1989,3.6,1,3,2,66.7,0.83,0.55,0.33,0.5,0,0
INT-World Cup,2018,Belgium,Romelu Lukaku,Belgium,FW,25,1993,5.3,4,13,5,38.5,2.47,0.95,0.31,0.8,0,0
INT-World Cup,2018,Belgium,Thibaut Courtois,Belgium,GK,26,1992,7.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Thomas Meunier,Belgium,MF,26,1991,5.0,1,6,3,50.0,1.2,0.6,0.17,0.33,0,0
INT-World Cup,2018,Belgium,Thomas Vermaelen,Belgium,DF,32,1985,1.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Thorgan Hazard,Belgium,MF,25,1993,1.1,0,3,0,0.0,2.76,0.0,0.0,,0,0
INT-World Cup,2018,Belgium,Toby Alderweireld,Belgium,DF,29,1989,6.0,0,5,1,20.0,0.83,0.17,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Vincent Kompany,Belgium,DF,32,1986,4.2,0,4,1,25.0,0.95,0.24,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Yannick Carrasco,Belgium,MF,24,1993,2.6,0,6,4,66.7,2.27,1.51,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Youri Tielemans,Belgium,"MF,FW",21,1997,2.0,0,4,1,25.0,2.05,0.51,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Alisson,Brazil,GK,25,1992,5.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Casemiro,Brazil,MF,26,1992,3.7,0,4,2,50.0,1.09,0.55,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Danilo,Brazil,DF,26,1991,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Douglas Costa,Brazil,"FW,MF",27,1990,0.9,0,4,3,75.0,4.62,3.46,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Fagner,Brazil,DF,29,1989,4.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Fernandinho,Brazil,MF,33,1985,1.8,0,3,0,0.0,1.71,0.0,0.0,,0,0
