league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Australia,Nathaniel Atkinson,Australia,DF,23,1999,0.9,0,0,0,0,0,0,0,1,3,,,0
INT-World Cup,2022,Australia,Riley McGree,Australia,"MF,FW",23,1998,2.9,0,0,0,9,2,0,5,5,1,,,0
INT-World Cup,2022,Belgium,Amadou Onana,Belgium,MF,20,2001,1.2,2,0,0,4,3,0,0,0,2,,,0
INT-World Cup,2022,Belgium,Axel Witsel,Belgium,MF,33,1989,3.0,0,0,0,5,4,0,0,4,2,,,0
INT-World Cup,2022,Belgium,Charles De Ketelaere,Belgium,"FW,MF",21,2001,0.2,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Belgium,Dries Mertens,Belgium,FW,35,1987,0.8,0,0,0,0,0,0,5,0,0,,,0
INT-World Cup,2022,Belgium,Eden Hazard,Belgium,FW,31,1991,1.4,0,0,0,0,7,0,1,1,0,,,0
INT-World Cup,2022,Belgium,Jan Vertonghen,Belgium,DF,35,1987,3.0,0,0,0,0,6,0,0,5,0,,,0
INT-World Cup,2022,Belgium,Jeremy Doku,Belgium,"FW,MF",20,2002,0.2,0,0,0,0,1,0,3,0,0,,,0
INT-World Cup,2022,Belgium,Kevin De Bruyne,Belgium,"FW,MF",30,1991,3.0,0,0,0,0,2,0,19,0,1,,,0
INT-World Cup,2022,Belgium,Leander Dendoncker,Belgium,DF,27,1995,1.8,1,0,0,3,0,0,0,0,3,,,0
INT-World Cup,2022,Belgium,Leandro Trossard,Belgium,FW,27,1994,1.1,0,0,0,0,2,0,2,0,0,,,0
INT-World Cup,2022,Belgium,Loïs Openda,Belgium,FW,22,2000,0.1,0,0,0,0,1,0,1,0,0,,,0
INT-World Cup,2022,Belgium,Michy Batshuayi,Belgium,FW,28,1993,1.7,0,0,0,5,1,2,0,0,0,,,0
INT-World Cup,2022,Belgium,Romelu Lukaku,Belgium,FW,29,1993,0.6,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Belgium,Thibaut Courtois,Belgium,GK,30,1992,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Belgium,Thomas Meunier,Belgium,MF,30,1991,2.3,1,0,0,4,1,0,6,2,6,,,0
INT-World Cup,2022,Belgium,Thorgan Hazard,Belgium,MF,29,1993,1.2,0,0,0,2,2,1,9,0,2,,,0
INT-World Cup,2022,Belgium,Timothy Castagne,Belgium,"MF,DF",26,1995,3.0,0,0,0,3,1,0,3,2,3,,,0
INT-World Cup,2022,Belgium,Toby Alderweireld,Belgium,DF,33,1989,3.0,0,0,0,0,0,0,2,0,2,,,0
INT-World Cup,2022,Belgium,Yannick Carrasco,Belgium,"MF,FW",28,1993,1.3,1,0,0,1,2,0,2,1,5,,,0
INT-World Cup,2022,Belgium,Youri Tielemans,Belgium,MF,25,1997,1.1,0,0,0,2,1,0,1,2,1,,,0
INT-World Cup,2022,Brazil,Alex Sandro,Brazil,DF,31,1991,2.1,0,0,0,3,2,0,4,3,3,,,0
INT-World Cup,2022,Brazil,Alex Telles,Brazil,DF,29,1992,0.7,0,0,0,1,0,0,3,0,1,,,0
INT-World Cup,2022,Brazil,Alisson,Brazil,GK,29,1992,4.2,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Brazil,Antony,Brazil,MF,22,2000,1.9,0,0,0,2,5,0,10,1,0,,,0
INT-World Cup,2022,Brazil,Bruno Guimarães,Brazil,MF,24,1997,0.8,1,0,0,2,2,0,3,0,0,,,0
INT-World Cup,2022,Brazil,Casemiro,Brazil,MF,30,1992,4.3,1,0,0,7,3,0,2,6,4,,,0
