league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Ecuador,José Cifuentes,Ecuador,MF,23,1999,0.7,0,0,0,3,0,0,2,0,2,,,0
INT-World Cup,2022,Ecuador,Kevin Rodríguez,Ecuador,FW,22,2000,0.0,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Ecuador,Michael Estrada,Ecuador,FW,26,1996,2.5,0,0,0,6,7,2,0,0,0,,,0
INT-World Cup,2022,Ecuador,Moisés Caicedo,Ecuador,MF,20,2001,3.0,1,0,0,4,5,0,0,2,3,,,0
INT-World Cup,2022,Ecuador,Pervis Estupiñán,Ecuador,"DF,MF",24,1998,3.0,0,0,0,8,3,2,20,3,4,,,0
INT-World Cup,2022,Ecuador,Piero Hincapié,Ecuador,DF,20,2002,3.0,0,0,0,5,1,0,1,2,4,,,0
INT-World Cup,2022,Ecuador,Romario Ibarra,Ecuador,MF,27,1994,0.8,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Ecuador,Ángelo Preciado,Ecuador,"DF,MF",24,1998,2.9,0,0,0,8,2,0,8,5,3,,,0
INT-World Cup,2022,England,Bukayo Saka,England,"FW,MF",20,2001,3.2,0,0,0,7,6,2,5,2,4,,,0
INT-World Cup,2022,England,Callum Wilson,England,FW,30,1992,0.5,0,0,0,0,2,0,0,0,0,,,0
INT-World Cup,2022,England,Declan Rice,England,MF,23,1999,4.6,0,0,0,3,2,0,4,11,5,,,0
INT-World Cup,2022,England,Eric Dier,England,"DF,MF",28,1994,0.4,0,0,0,1,0,0,0,0,1,,,0
INT-World Cup,2022,England,Harry Kane,England,FW,28,1993,4.5,0,0,0,1,9,0,6,0,1,,,0
INT-World Cup,2022,England,Harry Maguire,England,DF,29,1993,4.8,1,0,0,6,2,1,1,4,3,,,0
INT-World Cup,2022,England,Jack Grealish,England,"FW,MF",26,1995,1.0,0,0,0,0,10,0,0,3,1,,,0
INT-World Cup,2022,England,John Stones,England,DF,28,1994,4.8,0,0,0,4,3,0,0,1,2,,,0
INT-World Cup,2022,England,Jordan Henderson,England,MF,31,1990,3.0,0,0,0,5,4,0,8,1,2,,,0
INT-World Cup,2022,England,Jordan Pickford,England,GK,28,1994,5.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,England,Jude Bellingham,England,MF,18,2003,4.6,0,0,0,5,5,0,4,6,14,,,0
INT-World Cup,2022,England,Kalvin Phillips,England,"DF,MF",26,1995,0.5,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,England,Kieran Trippier,England,DF,31,1990,2.3,0,0,0,1,0,0,10,1,4,,,0
INT-World Cup,2022,England,Kyle Walker,England,DF,32,1990,2.6,0,0,0,3,3,0,2,2,1,,,0
INT-World Cup,2022,England,Luke Shaw,England,DF,26,1995,4.7,0,0,0,5,4,0,22,5,1,,,0
INT-World Cup,2022,England,Marcus Rashford,England,MF,24,1997,1.6,0,0,0,1,0,1,1,1,0,,,0
INT-World Cup,2022,England,Mason Mount,England,MF,23,1999,2.1,0,0,0,7,9,0,3,0,2,,,0
INT-World Cup,2022,England,Phil Foden,England,"FW,MF",22,2000,2.9,0,0,0,2,4,0,14,1,1,,,0
INT-World Cup,2022,England,Raheem Sterling,England,"MF,FW",27,1994,1.7,0,0,0,0,2,1,2,1,1,,,0
INT-World Cup,2022,England,Trent Alexander-Arnold,England,"DF,MF",23,1998,0.4,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,France,Adrien Rabiot,France,MF,27,1995,5.4,1,0,0,10,4,0,7,9,9,,,0
INT-World Cup,2022,France,Antoine Griezmann,France,MF,31,1991,6.0,1,0,0,3,9,3,40,8,8,,,0
INT-World Cup,2022,France,Aurélien Tchouaméni,France,MF,22,2000,6.9,1,0,0,8,10,0,3,14,4,,,0
INT-World Cup,2022,France,Axel Disasi,France,DF,24,1998,1.0,0,0,0,0,1,0,2,2,3,,,0
INT-World Cup,2022,France,Benjamin Pavard,France,DF,26,1996,1.0,0,0,0,0,0,0,1,1,0,,,0
INT-World Cup,2022,France,Dayot Upamecano,France,DF,23,1998,5.3,0,0,0,4,3,0,0,6,7,,,0
INT-World Cup,2022,France,Eduardo Camavinga,France,DF,19,2002,1.6,0,0,0,2,8,0,2,3,10,,,0
INT-World Cup,2022,France,Hugo Lloris,France,GK,35,1986,6.3,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,France,Ibrahima Konaté,France,DF,23,1999,3.3,0,0,0,2,4,0,1,7,6,,,0
INT-World Cup,2022,France,Jordan Veretout,France,MF,29,1993,0.7,0,0,0,2,0,0,0,0,0,,,0
INT-World Cup,2022,France,Jules Koundé,France,DF,23,1998,5.3,1,0,0,4,2,0,2,6,8,,,0
INT-World Cup,2022,France,Kingsley Coman,France,FW,26,1996,1.9,0,0,0,1,2,0,13,3,2,,,0
INT-World Cup,2022,France,Kylian Mbappé,France,"MF,FW",23,1998,6.6,0,0,0,7,7,6,24,0,0,,,0
INT-World Cup,2022,France,Lucas Hernández,France,DF,26,1996,0.1,0,0,0,0,0,0,1,0,1,,,0
INT-World Cup,2022,France,Marcus Thuram,France,"FW,MF",24,1997,1.7,1,0,0,3,5,1,1,0,2,,,0
INT-World Cup,2022,France,Mattéo Guendouzi,France,FW,23,1999,0.9,0,0,0,0,1,0,0,0,1,,,0
INT-World Cup,2022,France,Olivier Giroud,France,FW,35,1986,4.7,1,0,0,2,4,3,0,1,0,,,0
INT-World Cup,2022,France,Ousmane Dembélé,France,"MF,FW",25,1997,4.8,1,0,0,6,3,2,19,3,6,,,0
INT-World Cup,2022,France,Randal Kolo Muani,France,FW,23,1998,2.0,0,0,0,4,5,0,1,1,5,,,0
INT-World Cup,2022,France,Raphaël Varane,France,DF,29,1993,5.8,0,0,0,1,1,1,1,5,0,,,0
INT-World Cup,2022,France,Steve Mandanda,France,GK,37,1985,1.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,France,Theo Hernández,France,DF,24,1997,5.6,1,0,0,6,13,0,13,4,13,,,0
INT-World Cup,2022,France,William Saliba,France,DF,21,2001,0.3,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,France,Youssouf Fofana,France,MF,23,1999,2.5,0,0,0,3,1,0,0,3,5,,,0
INT-World Cup,2022,Germany,Antonio Rüdiger,Germany,DF,29,1993,3.0,0,0,0,0,3,1,0,0,1,,,0
INT-World Cup,2022,Germany,David Raum,Germany,DF,24,1998,2.7,0,0,0,5,3,1,24,7,2,,,0
INT-World Cup,2022,Germany,Jamal Musiala,Germany,MF,19,2003,2.9,0,0,0,1,6,1,1,1,1,,,0
INT-World Cup,2022,Germany,Jonas Hofmann,Germany,MF,29,1992,0.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Germany,Joshua Kimmich,Germany,"MF,DF",27,1995,3.0,1,0,0,2,2,0,21,4,2,,,0
INT-World Cup,2022,Germany,Kai Havertz,Germany,FW,23,1999,1.1,0,0,0,3,0,3,2,1,1,,,0
INT-World Cup,2022,Germany,Leon Goretzka,Germany,MF,27,1995,1.8,1,0,0,4,3,0,1,1,3,,,0
INT-World Cup,2022,Germany,Leroy Sané,Germany,MF,26,1996,1.2,0,0,0,0,0,0,2,0,1,,,0
INT-World Cup,2022,Germany,Lukas Klostermann,Germany,"DF,MF",26,1996,0.7,0,0,0,1,0,0,0,0,1,,,0
INT-World Cup,2022,Germany,Manuel Neuer,Germany,GK,36,1986,3.0,0,0,0,0,0,0,0,0,0,,,1
INT-World Cup,2022,Germany,Mario Götze,Germany,"FW,MF",30,1992,0.4,0,0,0,0,1,0,2,0,2,,,0
INT-World Cup,2022,Germany,Matthias Ginter,Germany,"DF,MF",28,1994,0.0,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Germany,Niclas Füllkrug,Germany,FW,29,1993,0.8,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Germany,Nico Schlotterbeck,Germany,DF,22,1999,1.0,0,0,0,1,1,0,0,1,3,,,0
INT-World Cup,2022,Germany,Niklas Süle,Germany,DF,26,1995,3.0,0,0,0,0,2,0,1,0,4,,,0
INT-World Cup,2022,Germany,Serge Gnabry,Germany,MF,26,1995,2.9,0,0,0,2,2,3,7,2,2,,,0
INT-World Cup,2022,Germany,Thilo Kehrer,Germany,DF,25,1996,0.8,1,0,0,3,0,0,0,2,2,,,0
INT-World Cup,2022,Germany,Thomas Müller,Germany,"FW,MF",32,1989,2.2,0,0,0,0,1,2,5,1,2,,,0
INT-World Cup,2022,Germany,Youssoufa Moukoko,Germany,FW,17,2004,0.0,0,0,0,0,0,0,1,0,0,,,0
INT-World Cup,2022,Germany,İlkay Gündoğan,Germany,MF,31,1990,2.1,0,0,0,3,2,1,1,1,1,,,0
INT-World Cup,2022,Ghana,Abdul Fatawu Issahaku,Ghana,"FW,MF",18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Ghana,Abdul Rahman Baba,Ghana,"MF,DF",27,1994,2.0,0,0,0,7,1,0,11,1,3,,,0
INT-World Cup,2022,Ghana,Alexander Djiku,Ghana,DF,27,1994,1.1,0,0,0,0,2,0,0,1,1,,,0
INT-World Cup,2022,Ghana,Alidu Seidu,Ghana,"MF,DF",22,2000,1.7,2,0,0,5,5,0,6,0,4,,,0
INT-World Cup,2022,Ghana,André Ayew,Ghana,"MF,FW",32,1989,2.2,1,0,0,2,6,1,0,0,1,,,0
INT-World Cup,2022,Ghana,Antoine Semenyo,Ghana,"FW,MF",22,2000,0.2,0,0,0,0,0,1,0,0,0,,,0
INT-World Cup,2022,Ghana,Daniel Amartey,Ghana,DF,27,1994,2.8,2,0,0,3,1,0,0,3,3,,,0
INT-World Cup,2022,Ghana,Daniel Kyereh,Ghana,"FW,MF",26,1996,0.4,0,0,0,0,0,0,5,0,2,,,0
INT-World Cup,2022,Ghana,Denis Odoi,Ghana,"DF,MF",34,1988,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Ghana,Gideon Mensah,Ghana,DF,23,1998,1.0,0,0,0,0,0,0,1,2,1,,,0
INT-World Cup,2022,Ghana,Iñaki Williams,Ghana,"FW,MF",27,1994,3.0,0,0,0,4,3,1,1,0,2,,,0
INT-World Cup,2022,Ghana,Jordan Ayew,Ghana,MF,30,1991,1.5,0,0,0,2,5,0,8,1,3,,,0
INT-World Cup,2022,Ghana,Kamaldeen Sulemana,Ghana,"FW,MF",20,2002,0.6,1,0,0,2,2,0,4,0,0,,,0
INT-World Cup,2022,Ghana,Lawrence Ati-Zigi,Ghana,GK,25,1996,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Ghana,Mohammed Kudus,Ghana,"MF,FW",21,2000,2.7,1,0,0,3,5,1,6,1,4,,,0
INT-World Cup,2022,Ghana,Mohammed Salisu,Ghana,DF,23,1999,3.0,0,0,0,6,1,0,0,3,1,,,0
INT-World Cup,2022,Ghana,Osman Bukari,Ghana,"FW,MF",23,1998,0.7,0,0,0,1,1,0,1,0,0,,,0
INT-World Cup,2022,Ghana,Salis Abdul Samed,Ghana,MF,22,2000,2.8,0,0,0,5,2,0,2,4,2,,,0
INT-World Cup,2022,Ghana,Tariq Lamptey,Ghana,DF,21,2000,1.1,1,0,0,3,2,0,3,1,2,,,0
INT-World Cup,2022,Ghana,Thomas Partey,Ghana,MF,29,1993,3.0,0,0,0,3,2,0,1,0,6,,,0
INT-World Cup,2022,IR Iran,Abolfazl Jalali,IR Iran,DF,23,1998,0.2,1,0,0,1,4,0,2,0,0,,,0
INT-World Cup,2022,IR Iran,Ahmad Nourollahi,IR Iran,MF,29,1993,2.5,0,0,0,2,0,0,3,6,3,,,0
INT-World Cup,2022,IR Iran,Ali Gholizadeh,IR Iran,"MF,FW",26,1996,2.2,0,0,0,3,1,2,4,3,0,,,0
INT-World Cup,2022,IR Iran,Ali Karimi,IR Iran,MF,28,1994,1.1,0,0,0,4,1,0,2,3,3,,,0
INT-World Cup,2022,IR Iran,Alireza Beiranvand,IR Iran,GK,29,1992,1.2,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,IR Iran,Alireza Jahanbakhsh,IR Iran,MF,28,1993,0.7,2,0,0,2,0,0,1,1,1,,,0
INT-World Cup,2022,IR Iran,Ehsan Hajsafi,IR Iran,MF,32,1990,2.6,0,0,0,1,3,0,11,2,4,,,0
INT-World Cup,2022,IR Iran,Hossein Hosseini,IR Iran,GK,29,1992,1.8,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,IR Iran,Hossein Kanaanizadegan,IR Iran,DF,28,1994,0.5,1,0,0,0,1,0,0,1,0,,,0
INT-World Cup,2022,IR Iran,Karim Ansarifard,IR Iran,FW,32,1990,0.4,0,0,0,0,0,1,0,1,0,,,0
INT-World Cup,2022,IR Iran,Majid Hosseini,IR Iran,DF,25,1996,3.0,1,0,0,4,1,1,0,6,3,,,0
INT-World Cup,2022,IR Iran,Mehdi Taremi,IR Iran,"FW,MF",29,1992,3.0,0,0,0,5,4,1,0,2,3,,,0
INT-World Cup,2022,IR Iran,Mehdi Torabi,IR Iran,MF,27,1994,0.7,0,0,0,0,0,0,1,2,0,,,0
INT-World Cup,2022,IR Iran,Milad Mohammadi,IR Iran,DF,28,1993,2.2,0,0,0,2,1,0,2,1,3,,,0
INT-World Cup,2022,IR Iran,Morteza Pouraliganji,IR Iran,DF,30,1992,3.0,1,0,0,5,1,0,2,6,2,,,0
INT-World Cup,2022,IR Iran,Ramin Rezaeian,IR Iran,DF,32,1990,2.0,1,0,0,2,3,0,11,3,5,,,0
INT-World Cup,2022,IR Iran,Rouzbeh Cheshmi,IR Iran,DF,28,1993,0.6,0,0,0,1,0,0,0,2,0,,,0
INT-World Cup,2022,IR Iran,Sadegh Moharrami,IR Iran,DF,26,1996,1.0,0,0,0,2,0,0,3,1,1,,,0
INT-World Cup,2022,IR Iran,Saeid Ezatolahi,IR Iran,MF,25,1996,2.4,0,0,0,2,5,0,4,2,1,,,0
INT-World Cup,2022,IR Iran,Saman Ghoddos,IR Iran,"FW,MF",28,1993,0.5,0,0,0,1,0,0,2,0,0,,,0
INT-World Cup,2022,IR Iran,Sardar Azmoun,IR Iran,FW,27,1995,1.4,0,0,0,1,1,1,0,0,0,,,0
INT-World Cup,2022,Japan,Ao Tanaka,Japan,MF,23,1998,1.9,0,0,0,1,1,0,2,3,1,,,0
INT-World Cup,2022,Japan,Ayase Ueda,Japan,FW,23,1998,0.5,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Japan,Daichi Kamada,Japan,"MF,FW",25,1996,3.6,0,0,0,1,1,3,5,0,3,,,0
INT-World Cup,2022,Japan,Daizen Maeda,Japan,FW,24,1997,2.0,0,0,0,2,3,2,0,3,2,,,0
INT-World Cup,2022,Japan,Hidemasa Morita,Japan,MF,27,1995,3.2,0,0,0,4,1,0,3,2,0,,,0
INT-World Cup,2022,Japan,Hiroki Ito,Japan,DF,23,1999,0.5,0,0,0,3,0,0,0,0,0,,,0
INT-World Cup,2022,Japan,Hiroki Sakai,Japan,DF,32,1990,1.3,0,0,0,3,1,0,2,1,4,,,0
INT-World Cup,2022,Japan,Junya Itō,Japan,MF,29,1993,3.6,0,0,0,0,5,1,14,4,4,,,0
INT-World Cup,2022,Japan,Kaoru Mitoma,Japan,"FW,MF",25,1997,1.8,0,0,0,3,1,0,0,2,2,,,0
INT-World Cup,2022,Japan,Ko Itakura,Japan,DF,25,1997,3.0,2,0,0,5,0,0,0,3,5,,,0
INT-World Cup,2022,Japan,Maya Yoshida,Japan,DF,33,1988,4.3,1,0,0,3,4,0,0,3,4,,,0
INT-World Cup,2022,Japan,Miki Yamane,Japan,DF,28,1993,0.7,1,0,0,2,1,0,3,2,0,,,0
INT-World Cup,2022,Japan,Ritsu Doan,Japan,"MF,FW",23,1998,2.4,0,0,0,3,4,0,9,2,5,,,0
INT-World Cup,2022,Japan,Shogo Taniguchi,Japan,DF,30,1991,2.3,1,0,0,3,0,0,0,1,0,,,0
INT-World Cup,2022,Japan,Shūichi Gonda,Japan,GK,33,1989,4.3,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Japan,Takefusa Kubo,Japan,"MF,FW",21,2001,1.0,0,0,0,2,2,1,0,0,1,,,0
INT-World Cup,2022,Japan,Takehiro Tomiyasu,Japan,DF,23,1998,2.1,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Japan,Takuma Asano,Japan,"FW,MF",27,1994,1.8,0,0,0,4,0,2,1,1,0,,,0
INT-World Cup,2022,Japan,Takumi Minamino,Japan,"FW,MF",27,1995,0.7,0,0,0,1,0,0,3,0,1,,,0
INT-World Cup,2022,Japan,Wataru Endo,Japan,MF,29,1993,3.4,1,0,0,7,9,0,2,3,5,,,0
INT-World Cup,2022,Japan,Yuki Soma,Japan,MF,25,1997,0.9,0,0,0,2,3,0,6,0,0,,,0
INT-World Cup,2022,Japan,Yūto Nagatomo,Japan,"MF,DF",35,1986,2.3,0,0,0,6,0,0,6,0,2,,,0
INT-World Cup,2022,Korea Republic,Cho Gue-sung,Korea Republic,FW,24,1998,3.1,1,0,0,7,6,4,1,0,0,,,0
INT-World Cup,2022,Korea Republic,Cho Yu-min,Korea Republic,DF,25,1996,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Korea Republic,Hong Chul,Korea Republic,"DF,MF",31,1990,0.5,0,0,0,0,0,0,2,1,0,,,0
INT-World Cup,2022,Korea Republic,Hwang Hee-chan,Korea Republic,MF,26,1996,1.3,1,0,0,3,3,0,3,0,1,,,0
INT-World Cup,2022,Korea Republic,Hwang In-beom,Korea Republic,MF,25,1996,3.7,0,0,0,7,3,0,6,3,3,,,0
INT-World Cup,2022,Korea Republic,Hwang Ui-jo,Korea Republic,FW,29,1992,1.2,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Korea Republic,Jeong Woo-yeong,Korea Republic,MF,22,1999,0.5,0,0,0,1,0,0,1,0,0,,,0
INT-World Cup,2022,Korea Republic,Jung Woo-young,Korea Republic,MF,32,1989,3.4,2,0,0,11,0,0,1,2,4,,,0
INT-World Cup,2022,Korea Republic,Kim Jin-su,Korea Republic,DF,30,1992,3.5,0,0,0,1,6,1,16,4,5,,,0
INT-World Cup,2022,Korea Republic,Kim Min-jae,Korea Republic,DF,25,1996,3.0,0,0,0,0,0,0,1,2,1,,,0
INT-World Cup,2022,Korea Republic,Kim Moon-hwan,Korea Republic,DF,26,1995,4.0,0,0,0,1,0,0,15,4,5,,,0
INT-World Cup,2022,Korea Republic,Kim Seung-gyu,Korea Republic,GK,31,1990,4.0,0,0,0,0,0,0,0,2,0,,,0
INT-World Cup,2022,Korea Republic,Kim Young-gwon,Korea Republic,DF,32,1990,3.9,1,0,0,1,2,0,1,3,2,,,0
INT-World Cup,2022,Korea Republic,Kwon Chang-hoon,Korea Republic,MF,27,1994,0.6,0,0,0,0,0,0,3,0,0,,,0
INT-World Cup,2022,Korea Republic,Kwon Kyung-won,Korea Republic,DF,30,1992,1.0,0,0,0,0,3,0,0,2,0,,,0
INT-World Cup,2022,Korea Republic,Lee Jae-sung,Korea Republic,"MF,FW",29,1992,2.3,0,0,0,2,1,0,1,3,2,,,0
INT-World Cup,2022,Korea Republic,Lee Kang-in,Korea Republic,MF,21,2001,1.6,1,0,0,2,4,0,12,0,3,,,0
INT-World Cup,2022,Korea Republic,Na Sang-ho,Korea Republic,MF,25,1996,1.3,0,0,0,2,0,0,8,0,1,,,0
INT-World Cup,2022,Korea Republic,Paik Seung-ho,Korea Republic,MF,25,1997,0.3,0,0,0,1,0,0,0,0,1,,,0
INT-World Cup,2022,Korea Republic,Son Heung-min,Korea Republic,"MF,FW",29,1992,4.0,0,0,0,1,6,2,21,2,2,,,0
INT-World Cup,2022,Korea Republic,Son Jun-ho,Korea Republic,MF,30,1992,0.8,0,0,0,5,0,0,0,3,3,,,0
INT-World Cup,2022,Mexico,Alexis Vega,Mexico,"FW,MF",24,1997,2.1,0,0,0,2,6,4,6,1,0,,,0
INT-World Cup,2022,Mexico,Andrés Guardado,Mexico,MF,35,1986,0.5,0,0,0,1,0,0,0,0,2,,,0
INT-World Cup,2022,Mexico,Charly Rodríguez,Mexico,MF,25,1997,0.4,0,0,0,1,1,0,2,0,0,,,0
INT-World Cup,2022,Mexico,César Montes,Mexico,DF,25,1997,3.0,0,0,0,4,0,0,0,2,4,,,0
INT-World Cup,2022,Mexico,Edson Álvarez,Mexico,MF,24,1997,1.9,1,0,0,4,1,1,0,4,1,,,0
INT-World Cup,2022,Mexico,Erick Gutiérrez,Mexico,MF,26,1995,0.5,1,0,0,2,3,0,0,2,1,,,0
INT-World Cup,2022,Mexico,Guillermo Ochoa,Mexico,GK,36,1985,3.0,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Mexico,Henry Martín,Mexico,FW,29,1992,1.6,0,0,0,3,3,2,0,3,1,,,0
INT-World Cup,2022,Mexico,Hirving Lozano,Mexico,"FW,MF",26,1995,2.8,0,0,0,7,11,2,24,0,3,,,0
INT-World Cup,2022,Mexico,Héctor Herrera,Mexico,MF,32,1990,1.8,1,0,0,4,1,0,4,3,3,,,0
INT-World Cup,2022,Mexico,Héctor Moreno,Mexico,DF,34,1988,3.0,1,0,0,3,3,0,0,1,2,,,0
INT-World Cup,2022,Mexico,Jesús Gallardo,Mexico,DF,27,1994,3.0,0,0,0,4,1,0,9,1,5,,,0
INT-World Cup,2022,Mexico,Jorge Sánchez,Mexico,DF,24,1997,1.9,1,0,0,5,1,2,2,3,0,,,0
INT-World Cup,2022,Mexico,Kevin Álvarez,Mexico,DF,23,1999,0.8,0,0,0,0,1,0,1,1,0,,,0
INT-World Cup,2022,Mexico,Luis Chávez,Mexico,MF,26,1996,3.0,0,0,0,3,8,0,19,0,0,,,0
INT-World Cup,2022,Mexico,Néstor Araujo,Mexico,DF,30,1991,1.0,1,0,0,2,0,0,2,3,1,,,0
INT-World Cup,2022,Mexico,Orbelín Pineda,Mexico,MF,26,1996,0.8,0,0,0,2,4,0,0,0,3,,,0
INT-World Cup,2022,Mexico,Raúl Jiménez,Mexico,FW,31,1991,0.7,0,0,0,1,1,0,2,1,0,,,0
INT-World Cup,2022,Mexico,Roberto Alvarado,Mexico,"FW,MF",23,1998,0.2,1,0,0,1,0,0,2,0,0,,,0
INT-World Cup,2022,Mexico,Rogelio Funes Mori,Mexico,FW,31,1991,0.1,0,0,0,2,1,0,0,0,0,,,0
INT-World Cup,2022,Mexico,Uriel Antuna,Mexico,"FW,MF",24,1997,0.9,0,0,0,0,1,2,7,0,3,,,0
INT-World Cup,2022,Morocco,Abde Ezzalzouli,Morocco,"FW,MF",20,2001,1.0,0,0,0,4,0,0,1,0,2,,,0
INT-World Cup,2022,Morocco,Abdelhamid Sabiri,Morocco,MF,25,1996,2.0,1,0,0,2,3,0,0,5,1,,,0
INT-World Cup,2022,Morocco,Abderrazak Hamdallah,Morocco,FW,31,1990,0.8,0,0,0,3,2,0,0,0,1,,,0
INT-World Cup,2022,Morocco,Achraf Dari,Morocco,DF,23,1999,2.1,1,0,0,2,1,0,0,6,0,,,0
INT-World Cup,2022,Morocco,Achraf Hakimi,Morocco,DF,23,1998,7.0,0,0,0,6,13,0,12,9,18,,,0
INT-World Cup,2022,Morocco,Anass Zaroury,Morocco,"FW,MF",21,2000,0.3,0,0,0,0,0,1,3,0,0,,,0
INT-World Cup,2022,Morocco,Azzedine Ounahi,Morocco,MF,22,2000,6.3,1,0,0,3,13,1,3,7,7,,,0
INT-World Cup,2022,Morocco,Badr Banoun,Morocco,DF,28,1993,0.6,0,0,0,2,0,0,0,1,0,,,0
INT-World Cup,2022,Morocco,Bilal El Khannouss,Morocco,MF,18,2004,0.6,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Morocco,Hakim Ziyech,Morocco,"FW,MF",29,1993,7.1,0,0,0,12,7,2,29,10,7,,,0
INT-World Cup,2022,Morocco,Ilias Chair,Morocco,"FW,MF",24,1997,0.5,0,0,0,0,0,0,2,0,1,,,0
INT-World Cup,2022,Morocco,Jawad El Yamiq,Morocco,DF,30,1992,3.4,0,0,0,1,4,0,0,5,2,,,0
INT-World Cup,2022,Morocco,Munir,Morocco,GK,33,1989,1.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Morocco,Nayef Aguerd,Morocco,DF,26,1996,3.9,0,0,0,2,0,1,0,3,2,,,1
INT-World Cup,2022,Morocco,Noussair Mazraoui,Morocco,DF,24,1997,4.1,0,0,0,3,1,1,2,1,9,,,0
INT-World Cup,2022,Morocco,Romain Saïss,Morocco,DF,32,1990,5.2,1,0,0,4,0,2,1,3,1,,,0
INT-World Cup,2022,Morocco,Selim Amallah,Morocco,MF,25,1996,4.5,1,0,0,11,8,0,3,8,9,,,0
INT-World Cup,2022,Morocco,Sofiane Boufal,Morocco,"FW,MF",28,1993,5.3,1,0,0,11,13,2,7,2,5,,,0
INT-World Cup,2022,Morocco,Sofyan Amrabat,Morocco,MF,25,1996,7.3,1,0,0,14,6,1,2,6,12,,,0
INT-World Cup,2022,Morocco,Walid Cheddira,Morocco,FW,24,1998,0.7,2,1,1,5,0,2,0,0,0,,,0
INT-World Cup,2022,Morocco,Yahya Attiat Allah,Morocco,DF,27,1995,3.5,0,0,0,8,3,0,7,0,2,,,0
INT-World Cup,2022,Morocco,Yahya Jabrane,Morocco,MF,30,1991,0.2,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Morocco,Yassine Bounou,Morocco,GK,31,1991,6.3,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Morocco,Youssef En-Nesyri,Morocco,FW,25,1997,6.0,0,0,0,2,4,4,0,1,3,,,0
INT-World Cup,2022,Morocco,Zakaria Aboukhlal,Morocco,"FW,MF",22,2000,0.9,0,0,0,1,0,2,1,1,1,,,0
INT-World Cup,2022,Netherlands,Andries Noppert,Netherlands,GK,28,1994,5.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Netherlands,Cody Gakpo,Netherlands,"FW,MF",23,1999,5.0,0,0,0,8,5,3,33,3,3,,,0
INT-World Cup,2022,Netherlands,Daley Blind,Netherlands,MF,32,1990,4.7,0,0,0,3,1,0,6,5,10,,,0
INT-World Cup,2022,Netherlands,Davy Klaassen,Netherlands,MF,29,1993,2.1,0,0,0,1,3,0,2,1,2,,,0
INT-World Cup,2022,Netherlands,Denzel Dumfries,Netherlands,MF,26,1996,5.3,2,1,1,17,7,2,8,7,5,,,0
INT-World Cup,2022,Netherlands,Frenkie de Jong,Netherlands,MF,25,1997,5.3,1,0,0,4,6,0,3,6,6,,,0
INT-World Cup,2022,Netherlands,Jurriën Timber,Netherlands,DF,20,2001,4.3,1,0,0,17,4,0,1,9,8,,,0
INT-World Cup,2022,Netherlands,Kenneth Taylor,Netherlands,MF,20,2002,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Netherlands,Luuk de Jong,Netherlands,FW,31,1990,0.6,0,0,0,1,1,1,0,0,1,,,0
INT-World Cup,2022,Netherlands,Marten de Roon,Netherlands,MF,31,1991,2.0,0,0,0,3,0,0,0,2,5,,,0
INT-World Cup,2022,Netherlands,Matthijs de Ligt,Netherlands,DF,22,1999,1.0,1,0,0,4,1,0,0,0,0,,,0
INT-World Cup,2022,Netherlands,Memphis,Netherlands,FW,28,1994,3.3,1,0,0,1,5,1,2,1,1,,,0
