league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Denmark,Jonas Knudsen,Denmark,DF,25,1992,1,120,120,30.8,1.3,1,120,1,0,,3,0.0,1,1,0,0.0,-0.33
INT-World Cup,2018,Denmark,Jonas Lössl,Denmark,GK,29,1989,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Denmark,Kasper Dolberg,Denmark,FW,20,1997,1,16,16,4.1,0.2,0,,0,1,15,3,1.0,0,0,0,0.0,-0.24
INT-World Cup,2018,Denmark,Kasper Schmeichel,Denmark,GK,31,1986,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,3,2,1,0.23,
INT-World Cup,2018,Denmark,Lasse Schöne,Denmark,MF,32,1986,3,221,74,56.7,2.5,1,91,1,2,65,1,1.33,2,1,1,0.41,0.41
INT-World Cup,2018,Denmark,Lukas Lerager,Denmark,MF,24,1993,1,1,1,0.3,0.0,0,,0,1,0,3,1.0,0,0,0,0.0,-0.23
INT-World Cup,2018,Denmark,Martin Braithwaite,Denmark,FW,27,1991,4,251,63,64.4,2.8,2,99,1,2,27,0,1.25,1,1,0,0.0,-0.65
INT-World Cup,2018,Denmark,Mathias Jørgensen,Denmark,"MF,DF",28,1990,3,220,73,56.4,2.4,2,106,2,1,9,1,1.33,1,1,0,0.0,-0.53
INT-World Cup,2018,Denmark,Michael Krohn-Dehli,Denmark,"FW,MF",35,1983,1,23,23,5.9,0.3,0,,0,1,22,3,0.0,0,0,0,0.0,-0.25
INT-World Cup,2018,Denmark,Nicolai Jørgensen,Denmark,FW,27,1991,3,212,71,54.4,2.4,2,79,1,1,54,1,1.33,2,1,1,0.42,0.42
INT-World Cup,2018,Denmark,Pione Sisto,Denmark,"MF,FW",23,1995,4,230,58,59.0,2.6,3,72,1,1,14,0,1.25,2,1,1,0.39,0.39
INT-World Cup,2018,Denmark,Simon Kjær,Denmark,DF,29,1989,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,3,2,1,0.23,
INT-World Cup,2018,Denmark,Thomas Delaney,Denmark,MF,26,1991,4,366,92,93.8,4.1,4,92,2,0,,0,1.25,3,2,1,0.25,0.25
INT-World Cup,2018,Denmark,Viktor Fischer,Denmark,"FW,MF",24,1994,1,31,31,7.9,0.3,0,,0,1,30,3,1.0,0,0,0,0.0,-0.25
INT-World Cup,2018,Denmark,William Kvist,Denmark,MF,33,1985,1,34,34,8.7,0.4,1,34,0,0,,2,3.0,0,0,0,0.0,-0.25
INT-World Cup,2018,Denmark,Yussuf Poulsen,Denmark,"MF,FW",23,1994,3,268,89,68.7,3.0,3,89,2,0,,0,1.33,3,2,1,0.34,0.34
INT-World Cup,2018,Egypt,Abdallah Said,Egypt,MF,32,1985,3,224,75,83.0,2.5,3,75,2,0,,0,0.0,2,4,-2,-0.8,3.11
INT-World Cup,2018,Egypt,Ahmed Elmohamady,Egypt,"DF,MF",30,1987,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,Ahmed Fathy,Egypt,DF,33,1984,3,270,90,100.0,3.0,3,90,3,0,,0,0.0,2,6,-4,-1.33,
INT-World Cup,2018,Egypt,Ahmed Hegazi,Egypt,DF,27,1991,3,270,90,100.0,3.0,3,90,3,0,,0,0.0,2,6,-4,-1.33,
INT-World Cup,2018,Egypt,Ali Gabr,Egypt,DF,29,1989,3,270,90,100.0,3.0,3,90,3,0,,0,0.0,2,6,-4,-1.33,
INT-World Cup,2018,Egypt,Amr Warda,Egypt,MF,24,1993,3,154,51,57.0,1.7,1,83,0,2,36,0,0.0,1,1,0,0.0,3.1
INT-World Cup,2018,Egypt,Ayman Ashraf,Egypt,DF,27,1991,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,El Wensh,Egypt,DF,23,1995,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,Essam El-Hadary,Egypt,GK,45,1973,1,90,90,33.3,1.0,1,90,1,0,,2,0.0,1,2,-1,-1.0,0.5
INT-World Cup,2018,Egypt,Kahraba,Egypt,"FW,MF",24,1994,3,47,16,17.4,0.5,0,,0,3,15,0,0.0,0,2,-2,-3.83,-3.02
INT-World Cup,2018,Egypt,Marwan Mohsen,Egypt,FW,29,1989,3,206,69,76.3,2.3,3,69,0,0,,0,0.0,2,4,-2,-0.87,1.94
INT-World Cup,2018,Egypt,Mohamed Abdel-Shafy,Egypt,DF,32,1985,3,270,90,100.0,3.0,3,90,3,0,,0,0.0,2,6,-4,-1.33,
INT-World Cup,2018,Egypt,Mohamed El-Shenawy,Egypt,GK,29,1988,2,180,90,66.7,2.0,2,90,2,0,,1,0.0,1,4,-3,-1.5,-0.5
INT-World Cup,2018,Egypt,Mohamed Elneny,Egypt,MF,25,1992,3,243,81,90.0,2.7,3,81,2,0,,0,0.0,1,6,-5,-1.85,-5.19
INT-World Cup,2018,Egypt,Mohamed Salah,Egypt,"MF,FW",25,1992,2,180,90,66.7,2.0,2,90,2,0,,1,0.0,2,5,-3,-1.5,-0.5
INT-World Cup,2018,Egypt,Omar Gaber,Egypt,"DF,MF",26,1992,0,,,,,0,,0,0,,2,,,,,,
INT-World Cup,2018,Egypt,Ramadan Sobhi,Egypt,MF,21,1997,3,59,20,21.9,0.7,0,,0,3,19,0,0.0,1,2,-1,-1.53,-0.25
INT-World Cup,2018,Egypt,Saad Samir,Egypt,DF,29,1989,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,Sam Morsy,Egypt,MF,26,1991,1,41,41,15.2,0.5,0,,0,1,40,2,0.0,0,1,-1,-2.2,-1.02
INT-World Cup,2018,Egypt,Sherif Ekramy,Egypt,GK,34,1983,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,Shikabala,Egypt,MF,32,1986,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Egypt,Tarek Hamed,Egypt,MF,29,1988,3,229,76,84.8,2.5,3,76,2,0,,0,0.0,2,5,-3,-1.18,1.02
INT-World Cup,2018,Egypt,Trézéguet,Egypt,"MF,FW",23,1994,3,237,79,87.8,2.6,3,79,1,0,,0,0.0,1,5,-4,-1.52,-1.52
INT-World Cup,2018,England,Ashley Young,England,MF,32,1985,5,461,92,66.8,5.1,5,92,3,0,,2,2.4,12,4,8,1.56,3.13
INT-World Cup,2018,England,Danny Rose,England,MF,27,1990,5,205,41,29.7,2.3,2,69,1,3,22,2,1.2,0,4,-4,-1.76,-3.24
INT-World Cup,2018,England,Danny Welbeck,England,"FW,MF",27,1990,1,12,12,1.7,0.1,0,,0,1,11,6,0.0,0,0,0,0.0,-0.53
INT-World Cup,2018,England,Dele Alli,England,MF,22,1996,5,362,72,52.5,4.0,4,89,1,1,6,1,1.8,5,3,2,0.5,-0.05
INT-World Cup,2018,England,Eric Dier,England,MF,24,1994,6,251,42,36.4,2.8,2,92,2,4,17,1,1.5,0,5,-5,-1.79,-3.64
INT-World Cup,2018,England,Fabian Delph,England,MF,28,1989,4,222,56,32.2,2.5,2,91,2,2,20,2,1.5,0,4,-4,-1.62,-3.16
INT-World Cup,2018,England,Gary Cahill,England,DF,32,1985,1,90,90,13.0,1.0,1,90,1,0,,6,0.0,0,1,-1,-1.0,-1.75
INT-World Cup,2018,England,Harry Kane,England,FW,24,1993,6,572,95,82.9,6.4,6,95,5,0,,1,2.0,12,6,6,0.94,2.47
INT-World Cup,2018,England,Harry Maguire,England,DF,25,1993,7,645,92,93.5,7.2,6,100,6,1,45,0,1.71,12,8,4,0.56,0.56
INT-World Cup,2018,England,Jack Butland,England,GK,25,1993,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,England,Jamie Vardy,England,FW,31,1987,4,160,40,23.2,1.8,1,93,1,3,22,3,1.5,0,3,-3,-1.69,-2.88
INT-World Cup,2018,England,Jesse Lingard,England,MF,25,1992,6,526,88,76.2,5.8,5,96,3,1,45,1,2.0,11,5,6,1.03,2.12
INT-World Cup,2018,England,John Stones,England,DF,24,1994,7,645,92,93.5,7.2,7,92,6,0,,0,1.71,12,7,5,0.7,2.7
INT-World Cup,2018,England,Jordan Henderson,England,MF,27,1990,5,480,96,69.6,5.3,5,96,3,0,,2,2.4,12,4,8,1.5,3.21
INT-World Cup,2018,England,Jordan Pickford,England,GK,24,1994,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,12,8,4,0.52,
INT-World Cup,2018,England,Kieran Trippier,England,MF,27,1990,6,579,97,83.9,6.4,6,97,5,0,,1,2.0,12,6,6,0.93,2.55
INT-World Cup,2018,England,Kyle Walker,England,DF,28,1990,5,493,99,71.4,5.5,5,99,3,0,,2,2.4,12,5,7,1.28,2.65
INT-World Cup,2018,England,Marcus Rashford,England,FW,20,1997,6,202,34,29.3,2.2,1,82,0,5,24,1,1.5,1,3,-2,-0.89,-2.0
INT-World Cup,2018,England,Nick Pope,England,GK,26,1992,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,England,Phil Jones,England,DF,26,1992,2,180,90,26.1,2.0,2,90,2,0,,5,0.0,0,3,-3,-1.5,-2.74
INT-World Cup,2018,England,Raheem Sterling,England,FW,23,1994,6,451,75,65.4,5.0,6,75,1,0,,1,2.0,11,4,7,1.4,2.53
INT-World Cup,2018,England,Ruben Loftus-Cheek,England,MF,22,1996,4,274,69,39.7,3.0,3,88,2,1,10,3,1.5,7,4,3,0.99,0.77
INT-World Cup,2018,England,Trent Alexander-Arnold,England,MF,19,1998,1,90,90,13.0,1.0,1,90,1,0,,6,0.0,0,1,-1,-1.0,-1.75
INT-World Cup,2018,France,Adil Rami,France,DF,32,1985,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,France,Alphonse Areola,France,GK,25,1993,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,France,Antoine Griezmann,France,"MF,FW",27,1991,7,566,81,89.8,6.3,7,81,2,0,,0,2.71,13,5,8,1.27,1.27
INT-World Cup,2018,France,Benjamin Mendy,France,DF,23,1994,1,41,41,6.5,0.5,0,,0,1,40,6,1.0,0,0,0,0.0,-1.22
INT-World Cup,2018,France,Benjamin Pavard,France,DF,22,1996,6,540,90,85.7,6.0,6,90,6,0,,1,3.0,14,6,8,1.33,1.33
INT-World Cup,2018,France,Blaise Matuidi,France,MF,31,1987,5,334,67,53.0,3.7,4,81,1,1,12,1,3.0,11,4,7,1.89,1.58
INT-World Cup,2018,France,Corentin Tolisso,France,MF,23,1994,5,195,39,31.0,2.2,2,80,0,3,12,2,3.0,3,2,1,0.46,-0.99
INT-World Cup,2018,France,Djibril Sidibé,France,DF,25,1992,1,90,90,14.3,1.0,1,90,1,0,,6,1.0,0,0,0,0.0,-1.33
INT-World Cup,2018,France,Florian Thauvin,France,"FW,MF",25,1993,1,2,2,0.3,0.0,0,,0,1,1,6,3.0,0,1,-1,-45.0,-46.29
INT-World Cup,2018,France,Hugo Lloris,France,GK,31,1986,6,540,90,85.7,6.0,6,90,6,0,,1,3.0,14,6,8,1.33,1.33
INT-World Cup,2018,France,Kylian Mbappé,France,"MF,FW",19,1998,7,532,76,84.4,5.9,6,87,3,1,12,0,2.71,14,5,9,1.52,2.44
INT-World Cup,2018,France,Lucas Hernández,France,DF,22,1996,7,589,84,93.5,6.5,7,84,6,0,,0,2.71,14,6,8,1.22,1.22
INT-World Cup,2018,France,N'Golo Kanté,France,MF,27,1991,7,593,85,94.1,6.6,7,85,6,0,,0,2.71,12,5,7,1.06,-1.37
INT-World Cup,2018,France,Nabil Fekir,France,"FW,MF",24,1993,6,74,12,11.7,0.8,0,,0,6,11,1,2.67,1,1,0,0.0,-1.29
INT-World Cup,2018,France,Olivier Giroud,France,FW,31,1986,7,545,78,86.5,6.1,6,88,4,1,20,0,2.71,13,5,8,1.32,1.32
INT-World Cup,2018,France,Ousmane Dembélé,France,"MF,FW",21,1997,4,165,41,26.2,1.8,2,74,0,2,9,3,2.5,1,1,0,0.0,-1.55
INT-World Cup,2018,France,Paul Pogba,France,MF,25,1993,6,538,90,85.4,6.0,6,90,5,0,,1,3.0,14,6,8,1.34,1.34
INT-World Cup,2018,France,Presnel Kimpembe,France,DF,22,1995,1,90,90,14.3,1.0,1,90,1,0,,6,1.0,0,0,0,0.0,-1.33
INT-World Cup,2018,France,Raphaël Varane,France,DF,25,1993,7,630,90,100.0,7.0,7,90,7,0,,0,2.71,14,6,8,1.14,
INT-World Cup,2018,France,Samuel Umtiti,France,DF,24,1993,6,540,90,85.7,6.0,6,90,6,0,,1,3.0,14,6,8,1.33,1.33
INT-World Cup,2018,France,Steve Mandanda,France,GK,33,1985,1,90,90,14.3,1.0,1,90,1,0,,6,1.0,0,0,0,0.0,-1.33
INT-World Cup,2018,France,Steven Nzonzi,France,MF,29,1988,5,146,29,23.2,1.6,1,94,1,4,13,2,2.6,2,1,1,0.62,-0.69
INT-World Cup,2018,France,Thomas Lemar,France,MF,22,1995,1,90,90,14.3,1.0,1,90,1,0,,6,1.0,0,0,0,0.0,-1.33
INT-World Cup,2018,Germany,Antonio Rüdiger,Germany,DF,25,1993,1,90,90,33.3,1.0,1,90,1,0,,2,3.0,2,1,1,1.0,2.5
INT-World Cup,2018,Germany,Jonas Hector,Germany,DF,28,1990,2,163,82,60.4,1.8,2,82,0,0,,0,1.5,1,1,0,0.0,1.68
INT-World Cup,2018,Germany,Joshua Kimmich,Germany,DF,23,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.0,2,4,-2,-0.67,
INT-World Cup,2018,Germany,Julian Brandt,Germany,"FW,MF",22,1996,3,22,7,8.1,0.2,0,,0,3,6,0,1.0,1,2,-1,-4.09,-3.73
INT-World Cup,2018,Germany,Julian Draxler,Germany,MF,24,1993,2,135,68,50.0,1.5,2,68,1,0,,1,1.5,0,2,-2,-1.33,-1.33
INT-World Cup,2018,Germany,Jérôme Boateng,Germany,DF,29,1988,2,171,86,63.3,1.9,2,86,1,0,,0,1.5,1,2,-1,-0.53,0.38
INT-World Cup,2018,Germany,Kevin Trapp,Germany,GK,27,1990,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Germany,Leon Goretzka,Germany,MF,23,1995,1,62,62,23.0,0.7,1,62,0,0,,2,0.0,0,0,0,0.0,0.87
INT-World Cup,2018,Germany,Manuel Neuer,Germany,GK,32,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.0,2,4,-2,-0.67,
INT-World Cup,2018,Germany,Marc-André ter Stegen,Germany,GK,26,1992,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Germany,Marco Reus,Germany,MF,29,1989,3,211,70,78.1,2.3,2,91,2,1,30,0,1.0,2,3,-1,-0.43,1.1
INT-World Cup,2018,Germany,Mario Gómez,Germany,FW,32,1985,3,90,30,33.3,1.0,0,,0,3,29,0,1.0,2,2,0,0.0,1.0
INT-World Cup,2018,Germany,Marvin Plattenhardt,Germany,DF,26,1992,1,78,78,28.9,0.9,1,78,0,0,,2,0.0,0,1,-1,-1.15,-0.69
INT-World Cup,2018,Germany,Mats Hummels,Germany,DF,29,1988,2,180,90,66.7,2.0,2,90,2,0,,1,0.0,0,3,-3,-1.5,-2.5
INT-World Cup,2018,Germany,Matthias Ginter,Germany,"DF,MF",24,1994,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Germany,Mesut Özil,Germany,MF,29,1988,2,180,90,66.7,2.0,2,90,2,0,,1,0.0,0,3,-3,-1.5,-2.5
INT-World Cup,2018,Germany,Niklas Süle,Germany,DF,22,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.0,0,2,-2,-2.0,-2.0
INT-World Cup,2018,Germany,Sami Khedira,Germany,MF,31,1987,2,116,58,43.0,1.3,2,58,0,0,,1,0.0,0,1,-1,-0.78,-0.19
INT-World Cup,2018,Germany,Sebastian Rudy,Germany,MF,28,1990,1,30,30,11.1,0.3,1,30,0,0,,2,3.0,0,0,0,0.0,0.75
INT-World Cup,2018,Germany,Thomas Müller,Germany,MF,28,1989,3,208,69,77.0,2.3,2,91,2,1,27,0,1.0,2,4,-2,-0.87,-0.87
INT-World Cup,2018,Germany,Timo Werner,Germany,FW,22,1996,3,265,88,98.1,2.9,3,88,2,0,,0,1.0,2,4,-2,-0.68,-0.68
INT-World Cup,2018,Germany,Toni Kroos,Germany,MF,28,1990,3,270,90,100.0,3.0,3,90,3,0,,0,1.0,2,4,-2,-0.67,
INT-World Cup,2018,Germany,İlkay Gündoğan,Germany,MF,27,1990,1,60,60,22.2,0.7,0,,0,1,59,2,3.0,2,1,1,1.5,2.79
INT-World Cup,2018,IR Iran,Alireza Beiranvand,IR Iran,GK,25,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.0,
INT-World Cup,2018,IR Iran,Alireza Jahanbakhsh,IR Iran,"MF,FW",24,1993,3,170,57,63.0,1.9,2,77,0,1,16,0,1.33,0,1,-1,-0.53,-1.43
INT-World Cup,2018,IR Iran,Amir Abedzadeh,IR Iran,GK,25,1993,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Ashkan Dejagah,IR Iran,"FW,MF",31,1986,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Ehsan Hajsafi,IR Iran,"DF,MF",28,1990,3,213,71,78.9,2.4,3,71,1,0,,0,1.33,1,2,-1,-0.42,-2.0
INT-World Cup,2018,IR Iran,Karim Ansarifard,IR Iran,MF,28,1990,3,179,60,66.3,2.0,2,82,1,1,15,0,1.33,2,1,1,0.5,1.49
INT-World Cup,2018,IR Iran,Majid Hosseini,IR Iran,DF,21,1996,3,191,64,70.7,2.1,2,91,2,1,10,0,1.33,2,2,0,0.0,0.0
INT-World Cup,2018,IR Iran,Masoud Shojaei,IR Iran,MF,34,1984,1,67,67,24.8,0.7,1,67,0,0,,2,3.0,0,0,0,0.0,0.0
INT-World Cup,2018,IR Iran,Mehdi Taremi,IR Iran,"MF,FW",25,1992,3,203,68,75.2,2.3,2,91,2,1,22,0,1.33,2,2,0,0.0,0.0
INT-World Cup,2018,IR Iran,Mehdi Torabi,IR Iran,MF,23,1994,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Milad Mohammadi,IR Iran,"DF,MF",24,1993,2,57,29,21.1,0.6,0,,0,2,28,1,0.5,1,0,1,1.58,2.0
INT-World Cup,2018,IR Iran,Mohammad Rashid Mazaheri,IR Iran,GK,29,1989,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Mohammad Reza Khanzadeh,IR Iran,DF,27,1991,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Morteza Pouraliganji,IR Iran,DF,26,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.0,
INT-World Cup,2018,IR Iran,Omid Ebrahimi,IR Iran,MF,30,1987,3,259,86,95.9,2.9,3,86,2,0,,0,1.33,1,2,-1,-0.35,-8.53
INT-World Cup,2018,IR Iran,Pejman Montazeri,IR Iran,"DF,MF",34,1983,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Ramin Rezaeian,IR Iran,DF,28,1990,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.0,
INT-World Cup,2018,IR Iran,Reza Ghoochannejad,IR Iran,"FW,MF",30,1987,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,IR Iran,Rouzbeh Cheshmi,IR Iran,DF,24,1993,1,90,90,33.3,1.0,1,90,1,0,,0,3.0,1,0,1,1.0,1.5
INT-World Cup,2018,IR Iran,Saeid Ezatolahi,IR Iran,MF,21,1996,2,164,82,60.7,1.8,2,82,1,0,,0,0.5,0,2,-2,-1.1,-2.8
INT-World Cup,2018,IR Iran,Saman Ghoddos,IR Iran,"FW,MF",24,1993,3,32,11,11.9,0.4,0,,0,3,10,0,1.33,2,0,2,5.63,6.38
INT-World Cup,2018,IR Iran,Sardar Azmoun,IR Iran,FW,23,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.0,
INT-World Cup,2018,IR Iran,Vahid Amiri,IR Iran,"FW,MF",30,1988,3,265,88,98.1,2.9,3,88,2,0,,0,1.33,2,2,0,0.0,0.0
INT-World Cup,2018,Iceland,Albert Guðmundsson,Iceland,"FW,MF",20,1997,1,6,6,2.2,0.1,0,,0,1,5,2,0.0,0,1,-1,-15.0,-14.32
INT-World Cup,2018,Iceland,Alfreð Finnbogason,Iceland,FW,29,1989,3,262,87,97.0,2.9,3,87,1,0,,0,0.33,2,4,-2,-0.69,10.56
INT-World Cup,2018,Iceland,Ari Freyr Skúlason,Iceland,"DF,MF",31,1987,2,19,10,7.0,0.2,0,,0,2,9,1,0.5,0,0,0,0.0,1.08
INT-World Cup,2018,Iceland,Arnór Ingvi Traustason,Iceland,"FW,MF",25,1993,1,1,1,0.4,0.0,0,,0,1,0,2,0.0,0,0,0,0.0,1.0
INT-World Cup,2018,Iceland,Aron Gunnarsson,Iceland,MF,29,1989,3,251,84,93.0,2.8,3,84,1,0,,0,0.33,2,5,-3,-1.08,-1.08
INT-World Cup,2018,Iceland,Birkir Bjarnason,Iceland,MF,30,1988,3,269,90,99.6,3.0,3,90,2,0,,0,0.33,2,5,-3,-1.0,-1.0
INT-World Cup,2018,Iceland,Birkir Már Sævarsson,Iceland,DF,33,1984,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Iceland,Björn Sigurðarson,Iceland,FW,27,1991,3,43,14,15.9,0.5,0,,0,3,13,0,0.33,1,2,-1,-2.09,-1.3
INT-World Cup,2018,Iceland,Emil Hallfreðsson,Iceland,MF,33,1984,2,180,90,66.7,2.0,2,90,2,0,,1,0.5,2,3,-1,-0.5,1.5
INT-World Cup,2018,Iceland,Frederik Schram,Iceland,GK,23,1995,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Iceland,Gylfi Sigurðsson,Iceland,"MF,FW",28,1989,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Iceland,Hannes Þór Halldórsson,Iceland,GK,34,1984,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Iceland,Hólmar Örn Eyjólfsson,Iceland,"DF,MF",27,1990,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Iceland,Hörður Magnússon,Iceland,DF,25,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Iceland,Jóhann Berg Guðmundsson,Iceland,MF,27,1990,2,152,76,56.3,1.7,2,76,1,0,,1,0.5,2,3,-1,-0.59,0.93
INT-World Cup,2018,Iceland,Jón Daði Böðvarsson,Iceland,FW,26,1992,1,70,70,25.9,0.8,1,70,0,0,,2,0.0,0,1,-1,-1.29,-0.39
INT-World Cup,2018,Iceland,Kári Árnason,Iceland,DF,35,1982,2,180,90,66.7,2.0,2,90,2,0,,1,0.5,1,3,-2,-1.0,0.0
INT-World Cup,2018,Iceland,Ragnar Sigurðsson,Iceland,DF,31,1986,3,223,74,82.6,2.5,3,74,1,0,,0,0.33,1,3,-2,-0.81,1.11
INT-World Cup,2018,Iceland,Rúnar Alex Rúnarsson,Iceland,GK,23,1995,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Iceland,Rúrik Gíslason,Iceland,MF,30,1988,2,118,59,43.7,1.3,1,91,1,1,27,1,0.5,0,2,-2,-1.53,-0.93
INT-World Cup,2018,Iceland,Samúel Friðjónsson,Iceland,MF,22,1996,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Iceland,Sverrir Ingi Ingason,Iceland,DF,24,1993,2,116,58,43.0,1.3,1,91,1,1,25,1,0.0,1,3,-2,-1.55,-0.97
INT-World Cup,2018,Iceland,Ólafur Ingi Skúlason,Iceland,MF,35,1983,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Japan,Eiji Kawashima,Japan,GK,35,1983,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,7,-1,-0.25,
INT-World Cup,2018,Japan,Gaku Shibasaki,Japan,MF,26,1992,4,339,85,94.2,3.8,4,85,2,0,,0,1.0,6,6,0,0.0,4.29
INT-World Cup,2018,Japan,Gen Shoji,Japan,DF,25,1992,3,270,90,75.0,3.0,3,90,3,0,,1,1.33,6,6,0,0.0,1.0
INT-World Cup,2018,Japan,Genki Haraguchi,Japan,MF,27,1991,3,244,81,67.8,2.7,3,81,1,0,,1,1.33,5,5,0,0.0,0.78
INT-World Cup,2018,Japan,Gōtoku Sakai,Japan,MF,27,1991,1,90,90,25.0,1.0,1,90,1,0,,3,0.0,0,1,-1,-1.0,-1.0
INT-World Cup,2018,Japan,Hiroki Sakai,Japan,DF,28,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,7,-1,-0.25,
INT-World Cup,2018,Japan,Hotaru Yamaguchi,Japan,MF,27,1990,3,111,37,30.8,1.2,1,92,1,2,10,1,1.0,0,2,-2,-1.62,-1.98
INT-World Cup,2018,Japan,Keisuke Honda,Japan,"FW,MF",32,1986,3,50,17,13.9,0.6,0,,0,3,16,1,1.33,2,1,1,1.8,2.38
INT-World Cup,2018,Japan,Kosuke Nakamura,Japan,GK,23,1995,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Japan,Makoto Hasebe,Japan,MF,34,1984,4,279,70,77.5,3.1,3,90,3,1,8,0,1.0,6,6,0,0.0,1.11
INT-World Cup,2018,Japan,Masaaki Higashiguchi,Japan,GK,32,1986,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Japan,Maya Yoshida,Japan,DF,29,1988,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,7,-1,-0.25,
INT-World Cup,2018,Japan,Naomichi Ueda,Japan,DF,23,1994,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Japan,Ryota Oshima,Japan,MF,25,1993,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Japan,Shinji Kagawa,Japan,MF,29,1989,3,230,77,63.9,2.6,3,77,1,0,,1,1.33,4,6,-2,-0.78,-1.47
INT-World Cup,2018,Japan,Shinji Okazaki,Japan,MF,32,1986,3,68,23,18.9,0.8,1,48,0,2,10,1,1.33,1,0,1,1.32,1.94
INT-World Cup,2018,Japan,Takashi Inui,Japan,MF,30,1988,4,292,73,81.1,3.2,3,89,2,1,25,0,1.0,6,6,0,0.0,1.32
INT-World Cup,2018,Japan,Takashi Usami,Japan,MF,26,1992,2,68,34,18.9,0.8,1,65,0,1,3,2,0.5,0,1,-1,-1.32,-1.32
INT-World Cup,2018,Japan,Tomoaki Makino,Japan,DF,31,1987,1,90,90,25.0,1.0,1,90,1,0,,3,0.0,0,1,-1,-1.0,-1.0
INT-World Cup,2018,Japan,Wataru Endo,Japan,"DF,MF",25,1993,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Japan,Yoshinori Mutō,Japan,FW,25,1992,1,81,81,22.5,0.9,1,81,0,0,,3,0.0,0,1,-1,-1.11,-1.11
INT-World Cup,2018,Japan,Yuya Osako,Japan,FW,28,1990,4,308,77,85.6,3.4,3,88,2,1,43,0,1.0,6,7,-1,-0.29,-0.29
INT-World Cup,2018,Japan,Yūto Nagatomo,Japan,DF,31,1986,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,7,-1,-0.25,
