league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Australia,Mile Jedinak,Australia,MF,33,1984,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Australia,Miloš Degenek,Australia,"DF,MF",24,1994,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Australia,Robbie Kruse,Australia,"FW,MF",29,1988,3,207,69,76.7,2.3,3,69,0,0,,0,0.33,2,5,-3,-1.3,-1.3
INT-World Cup,2018,Australia,Tim Cahill,Australia,"FW,MF",38,1979,1,38,38,14.1,0.4,0,,0,1,37,2,0.0,0,0,0,0.0,1.16
INT-World Cup,2018,Australia,Tom Rogić,Australia,MF,25,1992,3,223,74,82.6,2.5,3,74,0,0,,0,0.33,2,4,-2,-0.81,1.11
INT-World Cup,2018,Australia,Tomi Juric,Australia,FW,26,1991,3,95,32,35.2,1.1,1,54,0,2,21,0,0.33,0,3,-3,-2.84,-2.84
INT-World Cup,2018,Australia,Trent Sainsbury,Australia,DF,26,1992,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Belgium,Adnan Januzaj,Belgium,FW,23,1995,1,85,85,13.5,0.9,1,85,0,0,,6,3.0,1,0,1,1.06,-0.43
INT-World Cup,2018,Belgium,Axel Witsel,Belgium,MF,29,1989,6,539,90,85.6,6.0,6,90,5,0,,1,2.5,15,6,9,1.5,0.51
INT-World Cup,2018,Belgium,Dedryck Boyata,Belgium,DF,27,1990,3,270,90,42.9,3.0,3,90,3,0,,4,3.0,9,2,7,2.33,1.58
INT-World Cup,2018,Belgium,Dries Mertens,Belgium,FW,31,1987,6,298,50,47.3,3.3,3,78,0,3,21,1,2.5,8,3,5,1.51,0.15
INT-World Cup,2018,Belgium,Eden Hazard,Belgium,FW,27,1991,6,517,86,82.1,5.7,6,86,5,0,,1,2.5,14,5,9,1.57,0.77
INT-World Cup,2018,Belgium,Jan Vertonghen,Belgium,DF,31,1987,6,540,90,85.7,6.0,6,90,6,0,,1,2.5,15,6,9,1.5,0.5
INT-World Cup,2018,Belgium,Kevin De Bruyne,Belgium,"MF,FW",26,1991,6,540,90,85.7,6.0,6,90,6,0,,1,2.5,15,6,9,1.5,0.5
INT-World Cup,2018,Belgium,Koen Casteels,Belgium,GK,25,1992,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,Belgium,Leander Dendoncker,Belgium,DF,23,1995,1,90,90,14.3,1.0,1,90,1,0,,6,3.0,1,0,1,1.0,-0.5
INT-World Cup,2018,Belgium,Marouane Fellaini,Belgium,MF,30,1987,5,317,63,50.3,3.5,3,87,2,2,28,2,2.4,7,3,4,1.14,-0.59
INT-World Cup,2018,Belgium,Michy Batshuayi,Belgium,FW,24,1993,3,114,38,18.1,1.3,1,92,1,2,11,4,2.0,2,1,1,0.79,-0.78
