league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2018,Argentina,Lucas Biglia,Argentina,MF,32,1986,1.0,1.0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.0,0.0,0.0,3.4,0.0,0.0,,0.0,0.0,1,53.0,53.0,14.7,0.6,1,53.0,0,0,,3,1.0,1.0,1.0,0.0,0.0,0.88,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Marcos Acuña,Argentina,MF,26,1991,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,3,0.0,0.0,3.0,-3.0,-3.0,-3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Marcos Rojo,Argentina,DF,28,1990,3.0,3.0,225.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,0.4,0.8,2.5,1.0,3.0,1.0,33.3,1.2,0.4,0.33,1.0,0.0,0.0,3,225.0,75.0,62.5,2.5,3,75.0,2,0,,1,1.33,4.0,3.0,1.0,0.4,3.07,2.5,1.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0
INT-World Cup,2018,Argentina,Maximiliano Meza,Argentina,"MF,FW",25,1992,4.0,2.0,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,3.0,1.0,33.3,1.3,0.43,0.0,0.0,0.0,0.0,4,208.0,52.0,57.8,2.3,2,88.0,1,2,17.0,0,1.0,3.0,4.0,-1.0,-0.43,0.75,2.3,0.0,0.0,0.0,3.0,7.0,1.0,8.0,1.0,2.0,1.0,0.0,0.0
INT-World Cup,2018,Argentina,Nahuel Guzmán,Argentina,GK,32,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Argentina,Nicolás Otamendi,Argentina,DF,30,1988,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,25.0,1.0,0.25,0.0,0.0,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,4.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Nicolás Tagliafico,Argentina,DF,25,1992,4.0,4.0,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.0,0.0,0.0,0.77,0.0,0.0,,0.0,0.0,4,349.0,87.0,96.9,3.9,4,87.0,3,0,,0,1.0,5.0,9.0,-4.0,-1.03,-9.21,3.9,1.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Paulo Dybala,Argentina,"FW,MF",24,1993,1.0,0.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,3.91,0.0,0.0,,0.0,0.0,1,23.0,23.0,6.4,0.3,0,,0,1,22.0,3,0.0,0.0,2.0,-2.0,-7.83,-7.56,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Sergio Agüero,Argentina,FW,30,1988,4.0,2.0,179.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,1.01,1.01,2.0,2.0,6.0,3.0,50.0,3.02,1.51,0.33,0.67,0.0,0.0,4,179.0,45.0,49.7,2.0,2,73.0,1,2,17.0,0,1.0,3.0,3.0,0.0,0.0,1.49,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Willy Caballero,Argentina,GK,36,1981,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,0.5,1.0,4.0,-3.0,-1.5,-1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
