league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2018,Denmark,Mathias Jørgensen,Denmark,"MF,DF",28,1990,3.0,2.0,220.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.41,0.0,0.41,0.41,0.41,2.4,1.0,1.0,1.0,100.0,0.41,0.41,1.0,1.0,0.0,0.0,3,220.0,73.0,56.4,2.4,2,106.0,2,1,9.0,1,1.33,1.0,1.0,0.0,0.0,-0.53,2.4,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
INT-World Cup,2018,Denmark,Michael Krohn-Dehli,Denmark,"FW,MF",35,1983,1.0,0.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,23.0,23.0,5.9,0.3,0,,0,1,22.0,3,0.0,0.0,0.0,0.0,0.0,-0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Nicolai Jørgensen,Denmark,FW,27,1991,3.0,2.0,212.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,2.4,0.0,4.0,1.0,25.0,1.7,0.42,0.0,0.0,0.0,0.0,3,212.0,71.0,54.4,2.4,2,79.0,1,1,54.0,1,1.33,2.0,1.0,1.0,0.42,0.42,2.4,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Pione Sisto,Denmark,"MF,FW",23,1995,4.0,3.0,230.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,4.0,1.0,25.0,1.57,0.39,0.0,0.0,0.0,0.0,4,230.0,58.0,59.0,2.6,3,72.0,1,1,14.0,0,1.25,2.0,1.0,1.0,0.39,0.39,2.6,1.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Simon Kjær,Denmark,DF,29,1989,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,1.0,0.0,0.0,0.23,0.0,0.0,,0.0,0.0,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.25,3.0,2.0,1.0,0.23,,4.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Thomas Delaney,Denmark,MF,26,1991,4.0,4.0,366.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,4.1,0.0,4.0,0.0,0.0,0.98,0.0,0.0,,0.0,0.0,4,366.0,92.0,93.8,4.1,4,92.0,2,0,,0,1.25,3.0,2.0,1.0,0.25,0.25,4.1,1.0,0.0,0.0,12.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Viktor Fischer,Denmark,"FW,MF",24,1994,1.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,0.0,0.0,1,31.0,31.0,7.9,0.3,0,,0,1,30.0,3,1.0,0.0,0.0,0.0,0.0,-0.25,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,William Kvist,Denmark,MF,33,1985,1.0,1.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,34.0,34.0,8.7,0.4,1,34.0,0,0,,2,3.0,0.0,0.0,0.0,0.0,-0.25,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Yussuf Poulsen,Denmark,"MF,FW",23,1994,3.0,3.0,268.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.34,0.0,0.34,0.34,0.34,3.0,1.0,2.0,1.0,50.0,0.67,0.34,0.5,1.0,0.0,0.0,3,268.0,89.0,68.7,3.0,3,89.0,2,0,,0,1.33,3.0,2.0,1.0,0.34,0.34,3.0,2.0,0.0,0.0,9.0,2.0,1.0,2.0,4.0,3.0,0.0,2.0,0.0
INT-World Cup,2018,Egypt,Abdallah Said,Egypt,MF,32,1985,3.0,3.0,224.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.5,0.0,2.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0,3,224.0,75.0,83.0,2.5,3,75.0,2,0,,0,0.0,2.0,4.0,-2.0,-0.8,3.11,2.5,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Ahmed Elmohamady,Egypt,"DF,MF",30,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Ahmed Fathy,Egypt,DF,33,1984,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,0.33,0.33,0.0,0.0,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,6.0,-4.0,-1.33,,3.0,1.0,0.0,0.0,7.0,1.0,0.0,13.0,8.0,6.0,0.0,1.0,1.0
INT-World Cup,2018,Egypt,Ahmed Hegazi,Egypt,DF,27,1991,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,6.0,-4.0,-1.33,,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Ali Gabr,Egypt,DF,29,1989,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,6.0,-4.0,-1.33,,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0
INT-World Cup,2018,Egypt,Amr Warda,Egypt,MF,24,1993,3.0,1.0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,2.0,0.0,0.0,1.17,0.0,0.0,,0.0,0.0,3,154.0,51.0,57.0,1.7,1,83.0,0,2,36.0,0,0.0,1.0,1.0,0.0,0.0,3.1,1.7,0.0,0.0,0.0,1.0,5.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Ayman Ashraf,Egypt,DF,27,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,El Wensh,Egypt,DF,23,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Essam El-Hadary,Egypt,GK,45,1973,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,1.0,2.0,-1.0,-1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Kahraba,Egypt,"FW,MF",24,1994,3.0,0.0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,47.0,16.0,17.4,0.5,0,,0,3,15.0,0,0.0,0.0,2.0,-2.0,-3.83,-3.02,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Marwan Mohsen,Egypt,FW,29,1989,3.0,3.0,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,3.0,1.0,33.3,1.31,0.44,0.0,0.0,0.0,0.0,3,206.0,69.0,76.3,2.3,3,69.0,0,0,,0,0.0,2.0,4.0,-2.0,-0.87,1.94,2.3,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Mohamed Abdel-Shafy,Egypt,DF,32,1985,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,6.0,-4.0,-1.33,,3.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Mohamed El-Shenawy,Egypt,GK,29,1988,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,4.0,-3.0,-1.5,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Mohamed Elneny,Egypt,MF,25,1992,3.0,3.0,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,3.0,0.0,0.0,1.11,0.0,0.0,,0.0,0.0,3,243.0,81.0,90.0,2.7,3,81.0,2,0,,0,0.0,1.0,6.0,-5.0,-1.85,-5.19,2.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Mohamed Salah,Egypt,"MF,FW",25,1992,2.0,2.0,180.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,2.0,2.0,6.0,2.0,33.3,3.0,1.0,0.17,0.5,1.0,1.0,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,2.0,5.0,-3.0,-1.5,-0.5,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
INT-World Cup,2018,Egypt,Omar Gaber,Egypt,"DF,MF",26,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Ramadan Sobhi,Egypt,MF,21,1997,3.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,59.0,20.0,21.9,0.7,0,,0,3,19.0,0,0.0,1.0,2.0,-1.0,-1.53,-0.25,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Saad Samir,Egypt,DF,29,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Sam Morsy,Egypt,MF,26,1991,1.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,41.0,41.0,15.2,0.5,0,,0,1,40.0,2,0.0,0.0,1.0,-1.0,-2.2,-1.02,0.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Sherif Ekramy,Egypt,GK,34,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Shikabala,Egypt,MF,32,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Egypt,Tarek Hamed,Egypt,MF,29,1988,3.0,3.0,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.0,0.0,0.0,0.79,0.0,0.0,,0.0,0.0,3,229.0,76.0,84.8,2.5,3,76.0,2,0,,0,0.0,2.0,5.0,-3.0,-1.18,1.02,2.5,0.0,0.0,0.0,6.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Trézéguet,Egypt,"MF,FW",23,1994,3.0,3.0,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,8.0,1.0,12.5,3.04,0.38,0.0,0.0,0.0,0.0,3,237.0,79.0,87.8,2.6,3,79.0,1,0,,0,0.0,1.0,5.0,-4.0,-1.52,-1.52,2.6,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0
INT-World Cup,2018,England,Ashley Young,England,MF,32,1985,5.0,5.0,461.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.1,0.0,2.0,1.0,50.0,0.39,0.2,0.0,0.0,0.0,0.0,5,461.0,92.0,66.8,5.1,5,92.0,3,0,,2,2.4,12.0,4.0,8.0,1.56,3.13,5.1,0.0,0.0,0.0,4.0,3.0,0.0,17.0,6.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,England,Danny Rose,England,MF,27,1990,5.0,2.0,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,1.0,0.0,0.0,0.44,0.0,0.0,,0.0,0.0,5,205.0,41.0,29.7,2.3,2,69.0,1,3,22.0,2,1.2,0.0,4.0,-4.0,-1.76,-3.24,2.3,0.0,0.0,0.0,1.0,7.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,England,Danny Welbeck,England,"FW,MF",27,1990,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,1.0,50.0,15.0,7.5,0.0,0.0,0.0,0.0,1,12.0,12.0,1.7,0.1,0,,0,1,11.0,6,0.0,0.0,0.0,0.0,0.0,-0.53,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,England,Dele Alli,England,MF,22,1996,5.0,4.0,362.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,4.0,1.0,5.0,3.0,60.0,1.24,0.75,0.2,0.33,0.0,0.0,5,362.0,72.0,52.5,4.0,4,89.0,1,1,6.0,1,1.8,5.0,3.0,2.0,0.5,-0.05,4.0,0.0,0.0,0.0,3.0,9.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0
INT-World Cup,2018,England,Eric Dier,England,MF,24,1994,6.0,2.0,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,5.0,2.0,40.0,1.79,0.72,0.0,0.0,0.0,0.0,6,251.0,42.0,36.4,2.8,2,92.0,2,4,17.0,1,1.5,0.0,5.0,-5.0,-1.79,-3.64,2.8,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
INT-World Cup,2018,England,Fabian Delph,England,MF,28,1989,4.0,2.0,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.0,1.0,33.3,1.22,0.41,0.0,0.0,0.0,0.0,4,222.0,56.0,32.2,2.5,2,91.0,2,2,20.0,2,1.5,0.0,4.0,-4.0,-1.62,-3.16,2.5,0.0,0.0,0.0,1.0,3.0,1.0,5.0,4.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,England,Gary Cahill,England,DF,32,1985,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,90.0,90.0,13.0,1.0,1,90.0,1,0,,6,0.0,0.0,1.0,-1.0,-1.0,-1.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,England,Harry Kane,England,FW,24,1993,6.0,6.0,572.0,6.4,6.0,0.0,6.0,3.0,3.0,3.0,0.0,0.0,0.94,0.0,0.94,0.47,0.47,6.4,6.0,14.0,6.0,42.9,2.2,0.94,0.21,0.5,3.0,3.0,6,572.0,95.0,82.9,6.4,6,95.0,5,0,,1,2.0,12.0,6.0,6.0,0.94,2.47,6.4,0.0,0.0,0.0,4.0,21.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0
INT-World Cup,2018,England,Harry Maguire,England,DF,25,1993,7.0,6.0,645.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.14,0.14,0.28,0.14,0.28,7.2,1.0,11.0,3.0,27.3,1.53,0.42,0.09,0.33,0.0,0.0,7,645.0,92.0,93.5,7.2,6,100.0,6,1,45.0,0,1.71,12.0,8.0,4.0,0.56,0.56,7.2,2.0,0.0,0.0,8.0,6.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0
INT-World Cup,2018,England,Jack Butland,England,GK,25,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,England,Jamie Vardy,England,FW,31,1987,4.0,1.0,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.0,0.0,0.0,1.13,0.0,0.0,,0.0,0.0,4,160.0,40.0,23.2,1.8,1,93.0,1,3,22.0,3,1.5,0.0,3.0,-3.0,-1.69,-2.88,1.8,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,England,Jesse Lingard,England,MF,25,1992,6.0,5.0,526.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.34,0.17,0.34,5.8,1.0,17.0,2.0,11.8,2.91,0.34,0.06,0.5,0.0,0.0,6,526.0,88.0,76.2,5.8,5,96.0,3,1,45.0,1,2.0,11.0,5.0,6.0,1.03,2.12,5.8,1.0,0.0,0.0,9.0,5.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0
INT-World Cup,2018,England,John Stones,England,DF,24,1994,7.0,7.0,645.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,7.2,2.0,6.0,4.0,66.7,0.84,0.56,0.33,0.5,0.0,0.0,7,645.0,92.0,93.5,7.2,7,92.0,6,0,,0,1.71,12.0,7.0,5.0,0.7,2.7,7.2,1.0,0.0,0.0,4.0,4.0,0.0,1.0,7.0,8.0,1.0,0.0,0.0
INT-World Cup,2018,England,Jordan Henderson,England,MF,27,1990,5.0,5.0,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,4.0,1.0,25.0,0.75,0.19,0.0,0.0,0.0,0.0,5,480.0,96.0,69.6,5.3,5,96.0,3,0,,2,2.4,12.0,4.0,8.0,1.5,3.21,5.3,1.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0
INT-World Cup,2018,England,Jordan Pickford,England,GK,24,1994,7.0,7.0,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7,690.0,99.0,100.0,7.7,7,99.0,7,0,,0,1.71,12.0,8.0,4.0,0.52,,7.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,England,Kieran Trippier,England,MF,27,1990,6.0,6.0,579.0,6.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.31,0.16,0.31,6.4,1.0,3.0,1.0,33.3,0.47,0.16,0.33,1.0,0.0,0.0,6,579.0,97.0,83.9,6.4,6,97.0,5,0,,1,2.0,12.0,6.0,6.0,0.93,2.55,6.4,0.0,0.0,0.0,6.0,6.0,1.0,48.0,10.0,6.0,0.0,0.0,0.0
INT-World Cup,2018,England,Kyle Walker,England,DF,28,1990,5.0,5.0,493.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,5,493.0,99.0,71.4,5.5,5,99.0,3,0,,2,2.4,12.0,5.0,7.0,1.28,2.65,5.5,2.0,0.0,0.0,2.0,5.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0
INT-World Cup,2018,England,Marcus Rashford,England,FW,20,1997,6.0,1.0,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,5.0,2.0,40.0,2.23,0.89,0.0,0.0,0.0,0.0,6,202.0,34.0,29.3,2.2,1,82.0,0,5,24.0,1,1.5,1.0,3.0,-2.0,-0.89,-2.0,2.2,0.0,0.0,0.0,4.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,England,Nick Pope,England,GK,26,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,England,Phil Jones,England,DF,26,1992,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,180.0,90.0,26.1,2.0,2,90.0,2,0,,5,0.0,0.0,3.0,-3.0,-1.5,-2.74,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0
INT-World Cup,2018,England,Raheem Sterling,England,FW,23,1994,6.0,6.0,451.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,0.0,10.0,1.0,10.0,2.0,0.2,0.0,0.0,0.0,0.0,6,451.0,75.0,65.4,5.0,6,75.0,1,0,,1,2.0,11.0,4.0,7.0,1.4,2.53,5.0,0.0,0.0,0.0,10.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,England,Ruben Loftus-Cheek,England,MF,22,1996,4.0,3.0,274.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,0.33,3.0,0.0,3.0,1.0,33.3,0.99,0.33,0.0,0.0,0.0,0.0,4,274.0,69.0,39.7,3.0,3,88.0,2,1,10.0,3,1.5,7.0,4.0,3.0,0.99,0.77,3.0,1.0,0.0,0.0,3.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,England,Trent Alexander-Arnold,England,MF,19,1998,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1,90.0,90.0,13.0,1.0,1,90.0,1,0,,6,0.0,0.0,1.0,-1.0,-1.0,-1.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,France,Adil Rami,France,DF,32,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,France,Alphonse Areola,France,GK,25,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,France,Antoine Griezmann,France,"MF,FW",27,1991,7.0,7.0,566.0,6.3,4.0,2.0,6.0,1.0,3.0,3.0,0.0,0.0,0.64,0.32,0.95,0.16,0.48,6.3,4.0,22.0,11.0,50.0,3.5,1.75,0.05,0.09,3.0,3.0,7,566.0,81.0,89.8,6.3,7,81.0,2,0,,0,2.71,13.0,5.0,8.0,1.27,1.27,6.3,0.0,0.0,0.0,6.0,11.0,2.0,21.0,1.0,8.0,1.0,0.0,0.0
INT-World Cup,2018,France,Benjamin Mendy,France,DF,23,1994,1.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,41.0,41.0,6.5,0.5,0,,0,1,40.0,6,1.0,0.0,0.0,0.0,0.0,-1.22,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,France,Benjamin Pavard,France,DF,22,1996,6.0,6.0,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,6.0,1.0,4.0,2.0,50.0,0.67,0.33,0.25,0.5,0.0,0.0,6,540.0,90.0,85.7,6.0,6,90.0,6,0,,1,3.0,14.0,6.0,8.0,1.33,1.33,6.0,1.0,0.0,0.0,9.0,5.0,0.0,10.0,6.0,11.0,0.0,0.0,0.0
